# observed_effect,predicted_effect
9.313846475200000530e-01,7.728193998336791992e-01
7.906126724969999575e-01,8.003327846527099609e-01
7.142919529649999211e-01,7.609252929687500000e-01
6.826606563999999544e-01,7.599503397941589355e-01
6.640645132379999760e-01,8.038845062255859375e-01
1.028855522579999793e+00,8.706223964691162109e-01
1.008318140779999927e+00,9.906617999076843262e-01
9.985756639139999891e-01,9.075468182563781738e-01
9.951176860129999913e-01,9.502518177032470703e-01
9.762461474869998934e-01,8.352644443511962891e-01
9.486224167779999661e-01,8.837125301361083984e-01
9.478386084540000311e-01,9.175509214401245117e-01
9.395534938660000668e-01,9.035428762435913086e-01
9.358770118539999627e-01,8.737177848815917969e-01
9.282193448509999945e-01,9.157910346984863281e-01
8.861865710380000261e-01,9.035428762435913086e-01
8.525888577539999513e-01,7.977219820022583008e-01
8.466164788779999562e-01,8.350358009338378906e-01
8.021434752120000233e-01,9.035428762435913086e-01
7.435364629740000009e-01,8.851308822631835938e-01
6.969658198429999896e-01,8.732119798660278320e-01
6.151193919490000050e-01,9.085150361061096191e-01
6.029733698620000082e-01,7.698583602905273438e-01
1.151462388879999965e+00,9.195693135261535645e-01
1.029410803670000041e+00,8.329592943191528320e-01
1.011754067810000102e+00,7.227433323860168457e-01
9.858984162360000525e-01,8.696082830429077148e-01
9.822018879760000543e-01,9.653444886207580566e-01
9.472953551139999817e-01,9.653444886207580566e-01
9.153476485600000601e-01,8.686228990554809570e-01
8.890501776649999410e-01,8.104141354560852051e-01
8.755815040880000621e-01,8.504647016525268555e-01
8.631724752180000015e-01,7.983087301254272461e-01
8.431071825810000364e-01,7.197981476783752441e-01
8.215562624529999525e-01,7.543758153915405273e-01
6.969658198429999896e-01,7.801040410995483398e-01
6.868354280159999492e-01,7.282081246376037598e-01
3.259217841479999933e-01,7.338160872459411621e-01
2.469255318949999944e-01,7.465441226959228516e-01
1.057204927489999946e+00,8.380093574523925781e-01
1.045149113520000173e+00,8.380404710769653320e-01
1.030048274370000128e+00,9.146684408187866211e-01
1.018140802650000065e+00,8.288727998733520508e-01
9.974430508630000025e-01,8.448519110679626465e-01
9.899297168499999744e-01,9.628840684890747070e-01
9.719261808920000023e-01,8.622623682022094727e-01
9.259180354999999585e-01,7.314749956130981445e-01
8.623285281470001173e-01,9.071503877639770508e-01
8.346841498019998973e-01,8.741531968116760254e-01
8.287394347499998926e-01,7.803165912628173828e-01
8.116512105079999317e-01,9.146684408187866211e-01
7.880128745029999493e-01,8.024998307228088379e-01
7.817806962440000396e-01,8.338265419006347656e-01
7.542559940040000077e-01,8.507022857666015625e-01
7.531157633780000138e-01,8.313221335411071777e-01
7.072035192389999336e-01,8.048080801963806152e-01
6.113206278199999621e-01,8.467327952384948730e-01
1.041875561109999904e+00,9.111933112144470215e-01
1.033636552890000004e+00,9.449573755264282227e-01
9.895007271279999683e-01,8.317805528640747070e-01
9.840742076039999953e-01,8.411110639572143555e-01
9.763584064799998297e-01,8.084048032760620117e-01
9.436309008509999874e-01,8.855800628662109375e-01
9.417365303489999562e-01,8.016775250434875488e-01
9.281832616030000205e-01,9.415221214294433594e-01
9.013112652200001573e-01,8.241264820098876953e-01
8.881432853740001132e-01,8.660506606101989746e-01
7.858454740929999849e-01,8.501446247100830078e-01
7.821252912589999884e-01,7.940128445625305176e-01
7.356312247990000053e-01,8.016764521598815918e-01
6.969658198429999896e-01,8.946794867515563965e-01
6.969658198429999896e-01,7.630521059036254883e-01
1.040053357099999909e+00,7.707749009132385254e-01
1.022302403879999932e+00,8.931940793991088867e-01
1.005233023109999957e+00,8.665983676910400391e-01
9.264853443380000053e-01,6.986637711524963379e-01
9.196154949079999863e-01,8.897386789321899414e-01
9.164742477370000362e-01,7.633655071258544922e-01
9.004292302770000589e-01,8.597819805145263672e-01
8.567961644310000402e-01,8.001738786697387695e-01
8.389417725630000655e-01,7.307952642440795898e-01
8.115630070129999929e-01,7.081009745597839355e-01
6.969658198429999896e-01,8.665983676910400391e-01
6.969658198429999896e-01,8.185997605323791504e-01
6.969658198429999896e-01,7.807044386863708496e-01
6.969658198429999896e-01,8.396404981613159180e-01
6.969658198429999896e-01,7.435606718063354492e-01
6.969658198429999896e-01,7.929385900497436523e-01
6.969658198429999896e-01,8.086065649986267090e-01
6.969658198429999896e-01,6.734413504600524902e-01
1.122383300509999904e+00,8.843654394149780273e-01
1.023491146420000053e+00,9.083430767059326172e-01
9.977738139659999561e-01,8.725476264953613281e-01
9.968376541519999856e-01,8.403131961822509766e-01
8.914619418459999167e-01,7.633173465728759766e-01
8.809689334260000226e-01,7.928745150566101074e-01
8.572522165889999712e-01,9.179735779762268066e-01
8.379647184020000417e-01,9.156930446624755859e-01
8.272906923559999459e-01,8.378719091415405273e-01
8.266462054610000942e-01,7.274246811866760254e-01
7.187863620159999911e-01,8.443462848663330078e-01
6.969658198429999896e-01,8.429505228996276855e-01
6.380188232269999871e-01,7.157582044601440430e-01
6.351083083780000305e-01,7.923008799552917480e-01
6.248618688179999880e-01,7.212783694267272949e-01
5.895189291210000126e-01,7.986723184585571289e-01
9.906794465510000425e-01,9.492914080619812012e-01
9.809169234340000543e-01,9.430128931999206543e-01
9.783189296019999537e-01,8.619956970214843750e-01
9.732291870569999004e-01,9.768874645233154297e-01
9.652728309479999824e-01,8.517147302627563477e-01
9.407161762899999280e-01,8.935208320617675781e-01
9.305687651980000252e-01,7.808637022972106934e-01
9.044906002639999665e-01,9.176570177078247070e-01
8.858708426209999098e-01,8.166594505310058594e-01
8.781714794200000673e-01,8.835816979408264160e-01
8.721517913979999204e-01,9.580985307693481445e-01
8.549378771760000051e-01,9.601202011108398438e-01
8.461391776970000889e-01,8.459262847900390625e-01
8.354912117749999645e-01,9.768874645233154297e-01
7.873748024070000850e-01,8.918726444244384766e-01
7.569299631179999821e-01,8.571763038635253906e-01
9.476942754629998911e-01,8.112683296203613281e-01
9.448256572740000303e-01,8.664986491203308105e-01
9.358008361090000005e-01,8.373318910598754883e-01
9.321784789689999684e-01,8.249878883361816406e-01
8.905311945190000911e-01,8.379722237586975098e-01
8.768211641079999286e-01,8.357130289077758789e-01
8.766475635940000899e-01,8.035067915916442871e-01
8.346643040160000027e-01,8.126894235610961914e-01
8.056184924240000766e-01,8.664986491203308105e-01
7.847266929530000157e-01,7.568016052246093750e-01
7.699030934270000293e-01,8.506941795349121094e-01
7.242926656090000748e-01,8.574240207672119141e-01
7.147659465150000280e-01,8.649765253067016602e-01
7.104534170790000047e-01,8.158493638038635254e-01
6.997479384689999637e-01,8.210859894752502441e-01
6.704195750010000232e-01,5.581033825874328613e-01
6.432755510240000252e-01,8.158493638038635254e-01
1.070018489660000016e+00,7.927150726318359375e-01
9.319920488559999550e-01,8.664451837539672852e-01
9.125912893639999135e-01,8.221025466918945312e-01
8.811545616889999710e-01,8.810961842536926270e-01
8.687483392939999716e-01,8.664451837539672852e-01
8.091484363580000450e-01,8.384224176406860352e-01
8.076497788049999960e-01,8.507483601570129395e-01
8.015176313269999353e-01,8.285854458808898926e-01
8.004748254699999288e-01,6.993384957313537598e-01
7.886752025600000104e-01,6.394608616828918457e-01
7.459099388200000069e-01,6.847281455993652344e-01
7.189108492199999256e-01,7.899160981178283691e-01
7.000148542699999865e-01,7.245957255363464355e-01
6.982666790549999503e-01,6.866672039031982422e-01
6.292640250320000739e-01,6.058555245399475098e-01
