# observed_effect,predicted_effect
9.282462958089999772e-01,9.202078580856323242e-01
9.000681230550000578e-01,9.227902889251708984e-01
7.941677375399999184e-01,8.905947804450988770e-01
1.074091563579999908e+00,8.775725960731506348e-01
1.051796745579999914e+00,9.422339200973510742e-01
8.969716205550000154e-01,8.770318031311035156e-01
1.256328476989999887e-01,2.706949114799499512e-01
1.720803852050000193e-01,1.974149346351623535e-01
5.829862670109999812e-01,4.546976685523986816e-01
2.701698431619999931e-03,1.293258666992187500e-01
3.046106922230000236e-01,2.907277941703796387e-01
7.582483085360000041e-01,6.770365238189697266e-01
6.597795290219999886e-01,7.304990291595458984e-01
3.303116629769999868e-01,4.723760783672332764e-01
7.114911207790001191e-01,7.101017236709594727e-01
6.167381442660000435e-01,6.642611026763916016e-01
6.662821842730000110e-01,6.957737207412719727e-01
8.059344470420000128e-01,7.106826305389404297e-01
1.049319543580000014e+00,9.104145765304565430e-01
9.601402715629999696e-01,9.343695640563964844e-01
8.560977875489999001e-01,8.462594151496887207e-01
8.564074377989999709e-01,8.993806838989257812e-01
1.067279258079999904e+00,9.343695640563964844e-01
8.641486940500000546e-01,8.521045446395874023e-01
1.007826410070000067e+00,8.517619967460632324e-01
7.514360030350000219e-01,7.636330127716064453e-01
8.434021272970000371e-01,7.856476306915283203e-01
8.118178017930000046e-01,7.986532449722290039e-01
7.904519345399999564e-01,7.779568433761596680e-01
7.836396290389999741e-01,7.287003993988037109e-01
3.436266237280000135e-01,2.541308403015136719e-01
4.543343293750000400e-02,2.286854088306427002e-01
2.265788292120000103e-01,2.774140238761901855e-01
1.632630943350000044e-02,2.872776091098785400e-01
1.757961882050000091e-01,2.839884757995605469e-01
3.665407422320000053e-01,4.649948775768280029e-01
8.948040688039999857e-01,8.745718598365783691e-01
7.454055644149999715e-02,2.957134246826171875e-01
8.273003142949999500e-01,7.244962453842163086e-01
8.028379445419999705e-01,7.492700815200805664e-01
7.666088652869998965e-01,8.418554663658142090e-01
4.151558314880000045e-01,3.788037300109863281e-01
2.621886079669999980e-01,2.945965528488159180e-01
8.183204570440000269e-01,3.874270319938659668e-01
2.701698431619999931e-03,7.120135426521301270e-02
7.254253820309999323e-01,3.792034089565277100e-01
6.891963027760000804e-01,6.484791636466979980e-01
4.541717629940000278e-01,5.404527783393859863e-01
6.556069919029999804e-02,3.215974867343902588e-01
5.207465667530000175e-01,4.613026976585388184e-01
8.723621669320000271e-02,5.884237289428710938e-01
4.770858814969999862e-01,5.232568383216857910e-01
9.152409853069999324e-01,8.970505595207214355e-01
8.718899503010000274e-01,7.102127671241760254e-01
2.953211847219999742e-01,4.414260089397430420e-01
1.047771292329999993e+00,9.407409429550170898e-01
9.988465528190000331e-01,8.537824153900146484e-01
3.724240969820000191e-01,4.089668691158294678e-01
1.010922912570000110e+00,7.392901778221130371e-01
1.649584294539999940e-01,4.218460023403167725e-01
9.009970738050000483e-01,8.150429725646972656e-01
9.313427983090000195e-01,7.591121196746826172e-01
6.898156032760000000e-01,6.633232235908508301e-01
3.265958599759999914e-01,5.650568008422851562e-01
1.408057099510000021e-01,2.971965074539184570e-01
6.229311492669999950e-01,5.098068118095397949e-01
7.836396290389999741e-01,5.221470594406127930e-01
3.504389292289999958e-01,3.564030528068542480e-01
1.863242967069999867e-01,4.738435149192810059e-01
5.551177445079999995e-01,4.208299219608306885e-01
7.244964312809999418e-01,5.804618000984191895e-01
3.120422982239999810e-01,4.228332638740539551e-01
8.932558175539999645e-01,6.943434476852416992e-01
3.169967022249999822e-01,5.503442883491516113e-01
2.241016272119999986e-01,3.914081454277038574e-01
8.852049110529999210e-01,6.122921109199523926e-01
7.988124912909999598e-01,6.447044610977172852e-01
3.216414559749999902e-01,4.461072981357574463e-01
1.922076514579999784e-01,3.703694939613342285e-01
4.838981869979999684e-01,3.448349237442016602e-01
6.789778445249999850e-01,7.172652482986450195e-01
1.850856957070000086e-01,4.030894041061401367e-01
5.126956602519999739e-01,4.370803833007812500e-01
8.263713635449999595e-01,8.231028318405151367e-01
2.919150319709999941e-01,3.545762300491333008e-01
1.973246218399999849e-02,2.960305213928222656e-01
8.656969452999999648e-01,5.695300102233886719e-01
9.468253108109999649e-01,5.902014970779418945e-01
5.541887937569999201e-01,5.092673897743225098e-01
6.610181300220000500e-01,4.521323442459106445e-01
1.234652959479999867e-01,2.309468090534210205e-01
5.904178730119999940e-01,4.490136504173278809e-01
1.485469662020000026e-01,4.036199450492858887e-01
2.321525337130000144e-01,4.233830869197845459e-01
1.039101085320000006e+00,8.601328134536743164e-01
6.000170307639999256e-01,6.856312751770019531e-01
2.110963167100000093e-01,2.042247354984283447e-01
