# observed_effect,predicted_effect,CV1_pred,CV2_pred,CV3_pred,CV4_pred
9.282462958089999772e-01,9.202078580856323242e-01,9.205616712570190430e-01,8.955920934677124023e-01,9.169409275054931641e-01,8.888031244277954102e-01
9.000681230550000578e-01,9.227902889251708984e-01,9.183809757232666016e-01,9.254422187805175781e-01,9.195817708969116211e-01,8.947033286094665527e-01
7.941677375399999184e-01,8.905947804450988770e-01,8.871846199035644531e-01,8.871029615402221680e-01,9.104610681533813477e-01,8.570247888565063477e-01
1.074091563579999908e+00,8.775725960731506348e-01,8.671425580978393555e-01,8.868247866630554199e-01,8.642357587814331055e-01,7.664176225662231445e-01
1.051796745579999914e+00,9.422339200973510742e-01,9.451801180839538574e-01,9.238221049308776855e-01,8.935676813125610352e-01,8.952653408050537109e-01
8.969716205550000154e-01,8.770318031311035156e-01,8.747254610061645508e-01,8.898200988769531250e-01,8.910017609596252441e-01,8.552710413932800293e-01
1.256328476989999887e-01,2.706949114799499512e-01,2.766883969306945801e-01,2.883425951004028320e-01,3.275004923343658447e-01,3.685143291950225830e-01
1.720803852050000193e-01,1.974149346351623535e-01,1.753534078598022461e-01,2.227268815040588379e-01,2.305585443973541260e-01,2.376636862754821777e-01
5.829862670109999812e-01,4.546976685523986816e-01,4.593514502048492432e-01,4.492266178131103516e-01,4.393509924411773682e-01,4.017430543899536133e-01
2.701698431619999931e-03,1.293258666992187500e-01,1.143438518047332764e-01,7.330700755119323730e-02,3.394616246223449707e-01,9.495851397514343262e-02
3.046106922230000236e-01,2.907277941703796387e-01,2.931202352046966553e-01,3.474247455596923828e-01,3.615632653236389160e-01,4.009492099285125732e-01
7.582483085360000041e-01,6.770365238189697266e-01,6.882337331771850586e-01,6.227566599845886230e-01,6.958550810813903809e-01,7.103695869445800781e-01
6.597795290219999886e-01,7.304990291595458984e-01,7.318031787872314453e-01,7.171890735626220703e-01,7.165810465812683105e-01,6.696785688400268555e-01
3.303116629769999868e-01,4.723760783672332764e-01,4.712966680526733398e-01,4.979170262813568115e-01,4.027999639511108398e-01,3.733698129653930664e-01
7.114911207790001191e-01,7.101017236709594727e-01,7.025903463363647461e-01,6.905491948127746582e-01,6.989037990570068359e-01,6.625819206237792969e-01
6.167381442660000435e-01,6.642611026763916016e-01,6.764265298843383789e-01,6.798419952392578125e-01,6.510787606239318848e-01,6.257171630859375000e-01
6.662821842730000110e-01,6.957737207412719727e-01,6.980113983154296875e-01,7.016673088073730469e-01,6.871379017829895020e-01,6.320616602897644043e-01
8.059344470420000128e-01,7.106826305389404297e-01,7.182220816612243652e-01,7.168986201286315918e-01,7.168414592742919922e-01,6.489787101745605469e-01
1.049319543580000014e+00,9.104145765304565430e-01,9.134616851806640625e-01,9.445728659629821777e-01,9.710754156112670898e-01,9.604586362838745117e-01
9.601402715629999696e-01,9.343695640563964844e-01,9.299222230911254883e-01,9.376846551895141602e-01,9.098186492919921875e-01,8.881115913391113281e-01
8.560977875489999001e-01,8.462594151496887207e-01,8.599954247474670410e-01,8.669956326484680176e-01,8.612492084503173828e-01,8.500301837921142578e-01
8.564074377989999709e-01,8.993806838989257812e-01,8.895809650421142578e-01,9.003894329071044922e-01,8.638709783554077148e-01,8.492037057876586914e-01
1.067279258079999904e+00,9.343695640563964844e-01,9.299222230911254883e-01,9.376846551895141602e-01,9.098186492919921875e-01,8.881115913391113281e-01
8.641486940500000546e-01,8.521045446395874023e-01,8.437429070472717285e-01,8.500767946243286133e-01,8.570892214775085449e-01,8.058403730392456055e-01
1.007826410070000067e+00,8.517619967460632324e-01,8.459457755088806152e-01,8.779910206794738770e-01,9.234205484390258789e-01,9.206861257553100586e-01
7.514360030350000219e-01,7.636330127716064453e-01,7.621271014213562012e-01,7.674380540847778320e-01,7.953392863273620605e-01,8.056879043579101562e-01
8.434021272970000371e-01,7.856476306915283203e-01,7.675420045852661133e-01,8.276018500328063965e-01,8.024203181266784668e-01,8.286799788475036621e-01
8.118178017930000046e-01,7.986532449722290039e-01,7.995274662971496582e-01,8.171809315681457520e-01,8.047419786453247070e-01,8.132431507110595703e-01
7.904519345399999564e-01,7.779568433761596680e-01,7.697811722755432129e-01,8.225569725036621094e-01,8.176442980766296387e-01,8.166124820709228516e-01
7.836396290389999741e-01,7.287003993988037109e-01,7.298901081085205078e-01,5.861156582832336426e-01,7.261380553245544434e-01,7.333241701126098633e-01
3.436266237280000135e-01,2.541308403015136719e-01,2.436363697052001953e-01,2.257793247699737549e-01,2.486844956874847412e-01,2.641527354717254639e-01
4.543343293750000400e-02,2.286854088306427002e-01,2.167201340198516846e-01,1.066194772720336914e-01,1.348418295383453369e-01,1.071415543556213379e-01
2.265788292120000103e-01,2.774140238761901855e-01,2.794856429100036621e-01,2.424042820930480957e-01,2.022500932216644287e-01,2.094529867172241211e-01
1.632630943350000044e-02,2.872776091098785400e-01,2.653412222862243652e-01,1.344099342823028564e-01,1.707881093025207520e-01,1.059353053569793701e-01
1.757961882050000091e-01,2.839884757995605469e-01,2.901200950145721436e-01,2.401843965053558350e-01,2.381479144096374512e-01,2.778743207454681396e-01
3.665407422320000053e-01,4.649948775768280029e-01,4.704446494579315186e-01,4.953827261924743652e-01,4.114379882812500000e-01,4.054690599441528320e-01
8.948040688039999857e-01,8.745718598365783691e-01,8.670126199722290039e-01,8.413707017898559570e-01,8.948276638984680176e-01,8.765826225280761719e-01
7.454055644149999715e-02,2.957134246826171875e-01,3.131957352161407471e-01,3.407486081123352051e-01,5.839497447013854980e-01,2.877471745014190674e-01
8.273003142949999500e-01,7.244962453842163086e-01,7.255834937095642090e-01,6.825264692306518555e-01,7.647983431816101074e-01,6.830407381057739258e-01
8.028379445419999705e-01,7.492700815200805664e-01,7.535016536712646484e-01,7.214854359626770020e-01,7.896519303321838379e-01,6.774992942810058594e-01
7.666088652869998965e-01,8.418554663658142090e-01,8.422459363937377930e-01,8.381518721580505371e-01,9.083319902420043945e-01,8.411688208580017090e-01
4.151558314880000045e-01,3.788037300109863281e-01,3.611815273761749268e-01,5.188786387443542480e-01,5.548015236854553223e-01,5.114898681640625000e-01
2.621886079669999980e-01,2.945965528488159180e-01,2.956707477569580078e-01,5.581381320953369141e-01,4.605153203010559082e-01,4.454783499240875244e-01
8.183204570440000269e-01,3.874270319938659668e-01,3.762003183364868164e-01,6.046013236045837402e-01,6.227691173553466797e-01,5.677530765533447266e-01
2.701698431619999931e-03,7.120135426521301270e-02,6.948447227478027344e-02,1.368400752544403076e-01,2.244583666324615479e-01,1.170631349086761475e-01
7.254253820309999323e-01,3.792034089565277100e-01,3.670783042907714844e-01,6.315210461616516113e-01,5.714092254638671875e-01,5.387092828750610352e-01
6.891963027760000804e-01,6.484791636466979980e-01,6.409311890602111816e-01,5.328297615051269531e-01,5.356570482254028320e-01,3.722889423370361328e-01
4.541717629940000278e-01,5.404527783393859863e-01,5.459737181663513184e-01,5.107354521751403809e-01,5.267668366432189941e-01,4.876065552234649658e-01
6.556069919029999804e-02,3.215974867343902588e-01,3.204883337020874023e-01,2.545942664146423340e-01,2.934076189994812012e-01,1.581767797470092773e-01
5.207465667530000175e-01,4.613026976585388184e-01,4.508186280727386475e-01,4.321651756763458252e-01,4.859268665313720703e-01,3.267523348331451416e-01
