# observed_effect,predicted_effect
7.659895647869999769e-01,4.220060110092163086e-01
8.793215563020000403e-01,6.914708614349365234e-01
1.699128334549999952e-01,2.087167799472808838e-01
8.749864528020000476e-01,7.911423444747924805e-01
8.059344470420000128e-01,8.038876056671142578e-01
8.852049110529999210e-01,7.876105308532714844e-01
1.652680797040000094e-01,4.179176390171051025e-01
-2.919227732280000112e-02,4.334792792797088623e-01
8.074826982920000340e-01,7.770231962203979492e-01
8.037668952920000720e-01,7.157194614410400391e-01
-1.649661707099999916e-02,1.914733052253723145e-01
6.845515490250000390e-01,4.566107094287872314e-01
8.031475947920000413e-01,7.225024700164794922e-01
-2.237997182180000155e-02,3.591813445091247559e-01
8.248231122949999383e-01,8.422142267227172852e-01
-5.241604607599999882e-02,1.195915341377258301e-01
1.773444394559999804e-01,3.966549634933471680e-01
7.879747325399999447e-01,5.344697833061218262e-01
8.322547182960000622e-01,8.770752549171447754e-01
6.997244112770000246e-01,5.564331412315368652e-01
9.161699360570000339e-01,7.037113904953002930e-01
5.272492220040000399e-01,2.094648182392120361e-01
5.656458530089999437e-01,6.592653393745422363e-01
9.102865813060000422e-01,8.780194520950317383e-01
4.727507779959999601e-01,7.165264487266540527e-01
5.709099072600000158e-01,7.348386645317077637e-01
2.439192432149999978e-01,3.629305064678192139e-01
7.895229837899999659e-01,8.366121053695678711e-01
6.826936475249999470e-01,3.612983822822570801e-01
5.343711777549999820e-01,4.635634422302246094e-01
8.115081515430000447e-01,8.249150514602661133e-01
3.910031119849999848e-01,4.463736712932586670e-01
9.993187694499999774e-02,2.832506895065307617e-01
9.499218133119999852e-01,8.220173120498657227e-01
7.901422842899998855e-01,5.303463935852050781e-01
5.483054390070000172e-01,6.336172819137573242e-01
3.541547322300000467e-01,8.047697544097900391e-01
1.210337673599999997e+00,8.409234881401062012e-01
6.247890507669999760e-01,7.358335256576538086e-01
9.273173450589999867e-01,7.792967557907104492e-01
9.489928625619999947e-01,8.389412164688110352e-01
7.254253820309999323e-01,3.792034089565277100e-01
7.083946182790000767e-01,6.356651782989501953e-01
1.044674789820000171e+00,8.331519365310668945e-01
1.513338184520000018e-01,5.493685603141784668e-01
7.551518060349999839e-01,7.951881885528564453e-01
7.365727910330001071e-01,7.408587336540222168e-01
5.176500642519999973e-01,6.594686508178710938e-01
7.690860672870000192e-01,6.631073951721191406e-01
3.231897072260000447e-01,4.711488187313079834e-01
8.505240830480000902e-01,6.491439938545227051e-01
6.517286225209999451e-01,3.463366627693176270e-01
6.535865240209999261e-01,6.809128522872924805e-01
3.222607564759999987e-01,5.581737160682678223e-01
8.446407282969998764e-01,8.404821157455444336e-01
8.121274520429999644e-01,8.756816983222961426e-01
8.142950037930000162e-01,9.426524639129638672e-01
1.364706064500000038e-01,2.219748795032501221e-01
8.616714920499999320e-01,8.674994707107543945e-01
7.449333477839999995e-01,8.050665855407714844e-01
-4.653269132509999656e-02,3.017501831054687500e-01
1.012780814070000091e+00,8.737577199935913086e-01
7.885940330399998643e-01,8.275549411773681641e-01
1.655777299539999969e-01,3.467777371406555176e-01
8.879917633030000035e-01,8.729358315467834473e-01
5.953722770129999953e-01,2.121602296829223633e-01
1.034765981820000125e+00,8.904861211776733398e-01
5.238430692530000599e-01,3.430391550064086914e-01
2.095480654599999881e-01,4.553472697734832764e-01
9.071900788059999998e-01,7.820528745651245117e-01
4.047902893679999892e-02,1.855610907077789307e-01
3.473424267290000089e-01,3.440766334533691406e-01
8.282292650450000515e-01,8.400421142578125000e-01
7.876650822899999849e-01,7.873874902725219727e-01
4.064856244870000412e-01,4.732134640216827393e-01
7.306894362819998934e-01,6.469891071319580078e-01
1.973246218399999849e-02,2.960305213928222656e-01
9.353682515600000302e-01,7.970951795578002930e-01
6.718558887739999319e-01,6.302922368049621582e-01
4.513849107429999674e-01,4.170451760292053223e-01
6.650435832729999497e-01,5.214245319366455078e-01
3.166870519750000224e-01,4.382718503475189209e-01
7.381210422830000173e-01,7.550672888755798340e-01
8.124371022930000352e-01,8.776862025260925293e-01
1.632630943350000044e-02,2.872776091098785400e-01
7.873554320399999140e-01,7.779555320739746094e-01
9.211243400579999241e-01,8.824715614318847656e-01
7.514360030350000219e-01,7.636330127716064453e-01
9.400130053110000716e-01,5.809932351112365723e-01
5.767932620110000075e-01,2.780215740203857422e-01
8.873724628030000838e-01,5.505464673042297363e-01
6.308349718990000077e-02,2.720534801483154297e-01
6.120933905150000021e-01,5.123743414878845215e-01
8.787022558020000096e-01,8.477890491485595703e-01
8.669355462999999151e-01,9.831855893135070801e-01
9.678815278139999423e-01,8.707307577133178711e-01
1.689838827039999991e-01,4.200359284877777100e-01
6.891963027760000804e-01,4.276145398616790771e-01
6.699979872730000841e-01,4.481231570243835449e-01
8.183204570440000269e-01,8.897821903228759766e-01
4.665577729950000085e-01,5.813781619071960449e-01
7.467912492839999805e-01,9.025855064392089844e-01
5.226044682529999985e-01,6.414189338684082031e-01
8.195590580439999773e-01,7.143415808677673340e-01
3.210221554750000150e-01,1.283812522888183594e-02
2.987273374720000318e-01,4.591233730316162109e-01
8.167722057940000058e-01,8.008834123611450195e-01
8.031475947920000413e-01,5.523266792297363281e-01
4.835885367480000085e-01,5.674917697906494141e-01
8.059344470420000128e-01,7.236240506172180176e-01
9.065707783059999691e-01,7.448789477348327637e-01
7.111814705290000482e-01,6.517078876495361328e-01
7.034402142779999645e-01,6.456398963928222656e-01
8.217266097939999181e-01,5.983736515045166016e-01
8.858242115530000627e-01,8.065408468246459961e-01
1.928269519579999813e-01,7.452620267868041992e-01
7.607255105360000158e-01,5.645328760147094727e-01
3.461038257289999476e-01,4.297435879707336426e-01
9.777903358159999447e-01,8.326638936996459961e-01
8.762250538019999979e-01,8.554119467735290527e-01
8.207976590440000386e-01,7.649785876274108887e-01
8.827277090530000203e-01,7.835087180137634277e-01
5.427317345059999854e-01,6.976196169853210449e-01
7.062270665279999360e-01,5.139200091361999512e-01
8.372091222959999746e-01,7.570798397064208984e-01
8.523819845479999602e-01,8.855690956115722656e-01
7.266639830309999937e-01,7.252845764160156250e-01
2.241016272119999986e-01,5.097302794456481934e-01
7.650606140360001195e-01,7.726167440414428711e-01
5.975398287630000471e-01,6.349493265151977539e-01
8.338029695460000834e-01,8.476910591125488281e-01
7.833299787890000143e-01,8.329182863235473633e-01
8.656969452999999648e-01,5.695300102233886719e-01
1.460697642009999853e-01,2.502250075340270996e-01
6.625663812719999601e-01,5.877523422241210938e-01
-2.857297682270000180e-02,3.000171780586242676e-01
7.743501215379999802e-01,8.195674419403076172e-01
5.195079657529999562e-01,6.483172774314880371e-01
6.480128195200000052e-01,5.762329697608947754e-01
6.802164455249999353e-01,6.851860284805297852e-01
8.142950037930000162e-01,7.020142674446105957e-01
6.009459815140000272e-01,4.876872301101684570e-01
6.167381442660000435e-01,6.642611026763916016e-01
7.830203285390000545e-01,8.363457918167114258e-01
7.796141757879999634e-01,8.214578628540039062e-01
7.520553035349999416e-01,7.349197268486022949e-01
8.954233693040000164e-01,8.162921667098999023e-01
7.721825697869999505e-01,7.803677320480346680e-01
7.511263527850000621e-01,7.160230875015258789e-01
9.155506355570000032e-01,8.588804006576538086e-01
-5.613184907650000527e-02,3.601149916648864746e-01
5.399448822550000360e-01,4.703210592269897461e-01
7.817817275390001042e-01,7.978336811065673828e-01
8.588846397989999826e-01,7.903918027877807617e-01
6.808357460250000770e-01,6.907862424850463867e-01
5.182693647530000058e-01,7.155017852783203125e-01
6.690690365229999825e-01,8.078087568283081055e-01
8.111985012929999739e-01,6.775534749031066895e-01
7.436947467839999382e-01,7.949248552322387695e-01
8.502144327980000194e-01,6.740680932998657227e-01
6.653532335230000205e-01,5.809006094932556152e-01
7.805431265389999318e-01,6.426515579223632812e-01
8.053151465419999822e-01,8.532344102859497070e-01
5.108377587510000151e-01,6.185858845710754395e-01
7.780659245379999422e-01,2.424085736274719238e-01
8.177011565440001073e-01,5.986458063125610352e-01
5.145535617519999549e-01,7.253557443618774414e-01
-3.228877982319999784e-02,5.291362404823303223e-01
2.851027264700000119e-01,6.195786595344543457e-01
7.839492792890000450e-01,8.239927291870117188e-01
6.740234405239999838e-01,7.560048103332519531e-01
