# observed_effect,predicted_effect
4.278490994389999580e-01,6.256648302078247070e-01
9.804501129979998897e-01,9.111591577529907227e-01
1.741251594599999841e-01,1.332227289676666260e-01
8.960078758189999881e-01,9.103224277496337891e-01
9.527481544050000473e-01,8.729904890060424805e-01
3.039047484890000095e-01,3.458528518676757812e-01
1.104649562159999987e-01,1.444581449031829834e-01
9.602543928479999602e-01,9.294561743736267090e-01
9.066179530760000160e-01,5.141630172729492188e-01
1.146820899200000077e-01,2.412061095237731934e-01
2.181605075800000237e-01,3.672041296958923340e-01
2.605444917810000316e-01,2.233993411064147949e-01
8.886728687459999332e-01,4.208262860774993896e-01
-1.365675408839999924e-02,-1.496356725692749023e-02
2.579351900519999963e-01,1.292001903057098389e-01
9.177183020700000471e-01,8.811554908752441406e-01
8.845211948960000070e-01,8.338268399238586426e-01
9.355370196160001095e-01,9.602057933807373047e-01
1.619179692000000115e-01,1.050747632980346680e-01
3.981352871689999851e-01,3.248270153999328613e-01
9.362395589569999510e-01,8.496284484863281250e-01
4.076609326230000163e-01,3.222431540489196777e-01
9.778346693179998939e-01,1.052404761314392090e+00
9.487879407560000367e-01,9.292960166931152344e-01
5.025601218909999668e-01,2.969755828380584717e-01
8.721992713820000409e-01,4.250443577766418457e-01
2.868822547600000106e-01,7.129651308059692383e-02
3.126410069480000109e-01,2.883313894271850586e-01
9.801252825499999766e-01,7.947778701782226562e-01
1.884410183340000100e-01,5.587694048881530762e-01
2.505953477460000078e-01,3.219164311885833740e-01
9.847993710119999911e-01,9.818488359451293945e-01
2.787766565279999748e-02,3.634213507175445557e-01
9.028683265530000890e-01,5.286571383476257324e-01
9.445798531160000122e-01,8.038558363914489746e-01
1.013589751340000067e+00,1.030182838439941406e+00
9.658675362080000326e-01,9.139546155929565430e-01
4.481427843630000352e-01,3.557181954383850098e-01
8.272682659299999131e-01,7.688838243484497070e-01
9.919291880020000285e-01,9.604027867317199707e-01
2.343660418590000349e-02,-8.426016569137573242e-02
9.365776789910000844e-01,8.332154750823974609e-01
6.037502297390000272e-02,3.551012277603149414e-02
4.569514986320000194e-02,2.333540022373199463e-01
2.881377444310000424e-01,3.715886771678924561e-01
9.558515999529999529e-01,9.169797897338867188e-01
9.461255534510000231e-01,9.256256222724914551e-01
6.119549594200000137e-02,2.785885334014892578e-01
1.023583651210000056e+00,1.046796321868896484e+00
1.156728312299999950e-01,4.847258329391479492e-03
9.915201957359999207e-01,9.119819402694702148e-01
4.675340728750000396e-01,4.383336007595062256e-01
1.015825874170000143e+00,9.640915393829345703e-01
5.405507356270000674e-01,7.822893857955932617e-01
6.225371166830000469e-01,5.305509567260742188e-01
7.009601325100000002e-01,6.760469079017639160e-01
2.903548407909999907e-01,1.551977396011352539e-01
4.674948718959999749e-01,3.703731894493103027e-01
8.784551377730000221e-02,-7.440268993377685547e-03
9.630632705359999379e-01,9.755466580390930176e-01
5.172880044150000023e-01,4.943139553070068359e-01
9.921989879229999865e-01,1.058592557907104492e+00
1.005115608539999927e+00,9.689559936523437500e-01
7.350803418430000569e-02,1.243743300437927246e-01
5.060560522320000088e-01,7.136037349700927734e-01
9.540135406909999727e-02,3.661194443702697754e-01
4.648295516539999728e-01,2.557789087295532227e-01
1.129834162310000001e-01,2.164208889007568359e-01
4.152551915670000260e-01,6.369351148605346680e-01
5.895796141460000195e-01,7.597261667251586914e-01
1.995245959030000071e-01,3.034540414810180664e-01
3.867516996620000147e-01,3.098447322845458984e-01
9.684174037520000278e-01,8.744471073150634766e-01
5.100806390569999627e-01,5.125207304954528809e-01
9.755504273630000167e-01,9.669224619865417480e-01
1.485862021769999985e-01,3.413764238357543945e-01
9.443559435410000535e-01,8.589411973953247070e-01
9.579942687209999086e-01,9.637953639030456543e-01
4.787733175850000245e-01,5.529855489730834961e-01
6.565691656889999228e-01,7.621235251426696777e-01
9.882279633310000477e-01,9.650908112525939941e-01
4.852648782670000438e-01,3.466081619262695312e-01
5.028558825200000193e-01,4.539682567119598389e-01
3.869521022599999860e-01,3.005005419254302979e-01
9.588000533530000036e-01,8.362840414047241211e-01
4.581811582600000543e-01,3.329974114894866943e-01
8.257560622470000444e-01,5.035617351531982422e-01
9.828554088179999315e-01,9.938375949859619141e-01
4.722905836000000461e-03,-1.798772811889648438e-02
9.462529213439999642e-01,9.846044182777404785e-01
2.980709049690000167e-01,4.854654371738433838e-01
1.004603804710000103e+00,1.047128081321716309e+00
9.818890588040000145e-01,9.877784848213195801e-01
9.640164467699999795e-01,9.617426395416259766e-01
5.645193985059999697e-01,4.008766412734985352e-01
9.766416080090000174e-01,9.707475900650024414e-01
8.575172926340000057e-01,8.434106707572937012e-01
9.485632166519999409e-01,8.919543027877807617e-01
9.811491771600000522e-01,9.226263761520385742e-01
8.798549373649999783e-01,4.114409685134887695e-01
-5.845086536709999392e-02,3.573638200759887695e-02
8.936183073700000312e-01,6.145246028900146484e-01
1.003306899369999922e-01,3.595958948135375977e-01
4.814074184579999471e-01,8.319060802459716797e-01
8.698534553929999635e-01,8.574310541152954102e-01
3.942803141969999925e-02,7.459044456481933594e-02
8.497120306419999602e-01,8.486407995223999023e-01
9.580800760510000957e-01,8.056657314300537109e-01
1.006827241800000161e+00,9.628804326057434082e-01
8.336428188840000475e-01,8.624299764633178711e-01
1.347997663050000128e-01,2.135089635848999023e-01
3.808199520099999624e-01,3.438599705696105957e-01
2.580929323789999952e-01,9.064376354217529297e-02
3.095143079220000204e-02,1.923093199729919434e-01
6.747993181060000234e-01,6.851078867912292480e-01
9.856078575200000191e-01,9.292513132095336914e-01
9.555122644030000778e-01,8.263494968414306641e-01
1.393016413350000038e-01,4.812878370285034180e-02
2.422365068450000047e-01,2.582184076309204102e-01
2.759945613859999813e-01,1.337107717990875244e-01
8.878663661130000717e-01,8.134474754333496094e-01
4.087525174480000079e-01,4.227083325386047363e-01
9.686241089429999951e-01,8.730119466781616211e-01
5.125548981499999934e-01,4.749428033828735352e-01
9.548839790149999951e-01,7.553852796554565430e-01
6.339207982469999836e-01,4.478096067905426025e-01
4.465676353859999725e-01,2.607644498348236084e-01
9.785664523790000846e-01,1.052434206008911133e+00
2.708968726729999998e-01,3.586840033531188965e-01
9.014656509389999961e-01,9.120510816574096680e-01
9.585863773620000305e-01,8.887753486633300781e-01
4.759922115010000176e-01,5.323970317840576172e-01
1.008263247409999952e+00,9.868741035461425781e-01
6.002619199440000636e-02,5.485230684280395508e-02
9.660158669239999885e-01,9.950937032699584961e-01
9.682416761409999850e-01,1.003781676292419434e+00
9.494638368119999727e-01,1.012053728103637695e+00
9.680861206470000591e-01,9.991648197174072266e-01
9.770288797579999018e-01,9.564581513404846191e-01
9.821270135089998909e-01,9.948932528495788574e-01
9.503893661669999826e-01,9.053857922554016113e-01
9.395671245110001069e-01,7.819540500640869141e-01
9.558066717769999610e-01,8.808635473251342773e-01
4.295288202089999480e-02,1.598588228225708008e-01
9.317723598079999392e-02,8.962589502334594727e-02
5.610206370520000041e-01,3.401042520999908447e-01
9.616139263779999169e-01,9.234313964843750000e-01
1.770673188630000061e-01,3.288946747779846191e-01
9.799649090590000222e-01,9.819949865341186523e-01
1.995071338740000144e-01,2.299384772777557373e-01
6.941982341779999732e-01,7.294201254844665527e-01
7.512663888400000767e-01,6.223849058151245117e-01
9.759368588279999646e-01,1.044796228408813477e+00
9.182719260280000073e-01,4.199193418025970459e-01
7.641724776639999828e-01,7.897164225578308105e-01
3.820126829209999908e-01,4.621655941009521484e-01
9.526496719930001023e-01,9.732166528701782227e-01
9.340585325640000658e-01,9.581512212753295898e-01
7.619820459700000770e-01,8.917051553726196289e-01
1.393630064880000130e-01,3.525520563125610352e-01
5.031114872149999862e-01,4.666293561458587646e-01
9.904037621600000341e-01,9.111591577529907227e-01
8.947202977609999275e-01,6.582450866699218750e-01
2.346940306419999789e-01,2.472555339336395264e-01
7.773603399600000907e-01,8.430830836296081543e-01
1.846998240159999916e-01,3.241216540336608887e-01
8.144162751170000436e-02,3.071488440036773682e-01
1.716496903760000026e-01,1.947578191757202148e-01
8.785309270489999323e-01,9.248410463333129883e-01
9.098325091519999797e-01,7.940642237663269043e-01
1.003755445929999990e+00,8.227728605270385742e-01
1.538885217700000085e-01,3.976052999496459961e-01
4.306743042960000517e-02,-5.535680055618286133e-02
9.870641793250000129e-01,9.527224302291870117e-01
8.928096088490000692e-01,6.580913662910461426e-01
6.133615044310000014e-02,5.560313463211059570e-01
1.007544137040000010e+00,9.739415645599365234e-01
1.273587844360000165e-01,8.341485261917114258e-02
1.129998036299999925e-01,5.513380169868469238e-01
1.010981819870000020e+00,1.035629987716674805e+00
9.426862329039999988e-01,9.603835344314575195e-01
6.194646069339999894e-02,1.224672198295593262e-01
2.112069575560000245e-01,2.761334776878356934e-01
9.728502258409998937e-01,9.861676096916198730e-01
9.796172723070000199e-01,9.938950538635253906e-01
1.378533160440000016e-01,1.109035313129425049e-01
9.785826593529999284e-01,9.058616161346435547e-01
9.702066658849999303e-01,9.330384731292724609e-01
9.343012708230000740e-01,8.816480636596679688e-01
7.828806763779999622e-01,2.955554723739624023e-01
9.813850900170000280e-01,9.977249503135681152e-01
9.723918951109999931e-01,9.558667540550231934e-01
5.668555704269999662e-01,2.760819196701049805e-01
2.141857641480000018e-01,2.381368577480316162e-01
6.585854021489999655e-01,4.384363293647766113e-01
9.063752764120001082e-01,9.373958110809326172e-01
9.933297991600000820e-01,9.967802762985229492e-01
9.902054005810000392e-01,9.826247692108154297e-01
5.460216909730000179e-01,6.323627233505249023e-01
9.836459911299999526e-01,8.954477310180664062e-01
9.806047005519999971e-01,9.073944091796875000e-01
5.773910092290000101e-02,2.049546837806701660e-01
6.378612400749999675e-03,1.712283194065093994e-01
7.249705963129999819e-01,7.189238071441650391e-01
9.739385338249999524e-01,9.324107170104980469e-01
4.746187344820000376e-01,8.457219600677490234e-01
1.123175043859999944e-01,2.565503716468811035e-01
9.945735366859999038e-01,1.010346412658691406e+00
9.748019812239999693e-01,2.442220151424407959e-01
9.687131361390000084e-01,1.058592557907104492e+00
8.072119173689999982e-01,6.403996944427490234e-01
2.049702749879999952e-01,2.364719510078430176e-01
1.013275326160000045e+00,9.226289391517639160e-01
9.561115299490000607e-01,9.960440397262573242e-01
2.723986847120000165e-01,2.224368751049041748e-01
2.131870962050000373e-02,8.338421583175659180e-02
4.183411278270000033e-01,4.718711376190185547e-01
