# observed_effect,predicted_effect
1.157384858819999890e-01,1.606484353542327881e-01
8.902303793350000438e-01,7.910484671592712402e-01
2.196386637520000018e-01,7.646787166595458984e-02
9.236713577459999547e-01,9.304563999176025391e-01
9.265151205410000479e-01,8.948398828506469727e-01
9.182215766779999733e-01,9.040356874465942383e-01
-2.870254412609999847e-02,2.226862609386444092e-01
9.294826815979999601e-01,9.163949489593505859e-01
9.429316692970000080e-01,9.224844574928283691e-01
1.089368941620000086e+00,9.368434548377990723e-01
2.520044767010000131e-01,4.938085675239562988e-01
1.056584558529999773e+00,9.399188756942749023e-01
9.821956316930000597e-01,9.249252080917358398e-01
9.667925732150000062e-01,9.196240901947021484e-01
8.685861003749999476e-01,9.061725139617919922e-01
9.462850984729999082e-01,9.355359077453613281e-01
1.269124999379999952e-01,7.742407917976379395e-02
9.042944241650000547e-01,8.069252371788024902e-01
9.020020406280000458e-01,9.484436511993408203e-01
4.791969530069999927e-01,6.943667531013488770e-01
9.585674072090000220e-01,8.351595997810363770e-01
9.359995171989999863e-01,9.190111160278320312e-01
7.909544344969999807e-01,1.007856369018554688e+00
7.808120648940000130e-01,7.847858667373657227e-01
9.575079991530000001e-01,9.474844932556152344e-01
9.013368442620000032e-01,9.013760089874267578e-01
6.488482518060000315e-01,6.636392474174499512e-01
8.965580747249999316e-01,9.048336148262023926e-01
8.868632020640000446e-01,8.987834453582763672e-01
8.076595516830000765e-01,6.492401957511901855e-01
1.649776815760000126e-01,2.187405824661254883e-01
8.669296179889999232e-01,8.822182416915893555e-01
9.433820026209999154e-01,8.190344572067260742e-01
7.513255208560000176e-01,8.305840492248535156e-01
9.176420091050000449e-01,9.402928352355957031e-01
9.572624044909999741e-01,9.401582479476928711e-01
9.348010916100000234e-01,9.144946336746215820e-01
9.342760966730000449e-01,8.693112134933471680e-01
4.410901404540000237e-01,4.936076402664184570e-01
9.607261173010001043e-01,9.373695850372314453e-01
7.399411111030000932e-01,8.652504682540893555e-01
8.921337553579999913e-01,8.923088312149047852e-01
9.321012218480000389e-01,9.034947156906127930e-01
1.188348837959999904e-01,3.531637787818908691e-01
7.456706376780000145e-01,7.204644680023193359e-01
9.546092150010000443e-01,9.399768114089965820e-01
8.940315008379999817e-01,9.330844283103942871e-01
9.419259612720001229e-01,9.373046159744262695e-01
8.910940099109999624e-01,6.333007216453552246e-01
9.060521851250000758e-01,9.151462316513061523e-01
1.001592216289999948e+00,9.149577617645263672e-01
-1.169112159620000063e-01,-8.081579208374023438e-02
9.894096023580000177e-01,8.626344203948974609e-01
8.039840158759998801e-01,8.651134967803955078e-01
9.054333006149999363e-01,7.715306282043457031e-01
5.802663536819999690e-01,8.795467615127563477e-01
9.403352554830000098e-01,9.470800161361694336e-01
9.026747832969999052e-01,8.220608234405517578e-01
-2.440451085840000464e-02,4.177441596984863281e-01
2.330591882739999898e-01,2.677661776542663574e-01
3.686407647009999899e-01,5.310177803039550781e-01
9.352208564100000787e-01,9.123042821884155273e-01
5.541493944470000654e-01,2.539696097373962402e-01
-6.183870658359999495e-02,1.348851919174194336e-01
9.457982779719998900e-01,7.405549883842468262e-01
7.198822046039999867e-01,8.333022594451904297e-01
1.858069814619999968e-02,2.926039695739746094e-02
9.725712140870000910e-01,9.434064626693725586e-01
9.450689872999999963e-01,9.536291956901550293e-01
9.357918850290000146e-01,9.248080253601074219e-01
9.099787366779998887e-01,9.264222979545593262e-01
9.296666755879999799e-01,8.802540898323059082e-01
2.158556103239999725e-03,5.838589072227478027e-01
9.509124419220000846e-01,8.867734670639038086e-01
9.676503505429999707e-01,9.171711802482604980e-01
5.318294221859999338e-01,8.565405607223510742e-01
9.423959944600001082e-01,9.028832912445068359e-01
9.884193189249999845e-02,-8.511549234390258789e-02
9.884848546029999516e-01,9.127340316772460938e-01
1.041077607799999916e+00,9.329997897148132324e-01
9.095375152130000806e-01,7.926377058029174805e-01
9.302677362530000771e-01,9.065743088722229004e-01
9.640086741610000010e-01,9.390661120414733887e-01
9.032861181919998872e-01,9.124183058738708496e-01
9.364477037809999516e-01,9.041619300842285156e-01
9.390539745630001045e-01,9.622336626052856445e-01
6.202623636549999819e-01,7.729619741439819336e-01
8.125800029340000119e-01,3.905832171440124512e-01
9.607282425190000197e-01,9.572230577468872070e-01
2.691920439079999866e-02,1.520145237445831299e-01
-6.473213008849999783e-02,-8.076632022857666016e-02
8.692185558089999819e-01,9.177944660186767578e-01
9.698949949230000200e-01,9.366152286529541016e-01
4.971173046210000113e-01,4.015491902828216553e-01
7.634479365770000525e-01,7.947931289672851562e-01
9.363331680559999759e-01,9.168992638587951660e-01
1.969079723189999798e-01,5.982276797294616699e-01
4.988359688650000068e-02,2.140517830848693848e-01
-5.160229093519999588e-02,-4.178541898727416992e-02
-8.800265986479999247e-02,5.266737937927246094e-02
5.542731637330000627e-02,2.041161060333251953e-03
2.944300191759999796e-01,7.979233264923095703e-01
8.995463307799999031e-01,9.669297933578491211e-01
8.801073221390000034e-01,8.686996698379516602e-01
9.135651532670000519e-01,9.202601909637451172e-01
5.322556884790000664e-01,5.204094648361206055e-01
3.649265403340000435e-02,7.342472076416015625e-01
9.891400044120000068e-01,9.250179529190063477e-01
9.111321477279999970e-01,8.985944986343383789e-01
9.243563119290000296e-01,9.204133749008178711e-01
9.354797297490000663e-01,9.110248088836669922e-01
9.333900697669998969e-01,9.175727367401123047e-01
9.327219186280000240e-01,6.459504365921020508e-01
9.817974659569999041e-01,9.728379249572753906e-01
1.178730204880000104e-01,2.271216809749603271e-01
8.172608170849999798e-01,8.713725805282592773e-01
9.066533418269999700e-01,9.232580065727233887e-01
9.120328623950000324e-01,9.021974802017211914e-01
8.834776056890000229e-01,6.427855491638183594e-01
8.879142706890000847e-01,9.023305177688598633e-01
9.385905198630000168e-01,9.188639521598815918e-01
9.085612100309998773e-01,9.036540985107421875e-01
1.009914258929999864e+00,8.652675151824951172e-01
8.714485207080000517e-01,8.848311901092529297e-01
8.504568639799999774e-01,8.696835041046142578e-01
9.190610110690000667e-01,8.286330103874206543e-01
7.920089653970000532e-01,7.923834919929504395e-01
7.345846235199999796e-01,6.655594110488891602e-01
9.770676683169999821e-01,8.708829879760742188e-01
6.133610218280000775e-02,5.137000083923339844e-01
7.195435565469999739e-01,7.097777724266052246e-01
9.247126505380000028e-01,8.905215263366699219e-01
9.444814925920000936e-01,9.128478765487670898e-01
6.590886513060000285e-01,7.088602185249328613e-01
8.896200370909999044e-01,9.318502545356750488e-01
9.477335231489999456e-01,9.414575099945068359e-01
9.117256380830000007e-01,9.174901843070983887e-01
1.663665811229999847e-01,1.458885967731475830e-01
8.853984338279999866e-01,9.040774703025817871e-01
8.622234055440000100e-01,9.648430347442626953e-01
8.943416757829999453e-01,9.309240579605102539e-01
8.696165410630000148e-01,7.642172574996948242e-01
9.637762497189999999e-01,8.997482657432556152e-01
7.743399242630000234e-01,9.268777966499328613e-01
9.077872873090000461e-01,8.803727626800537109e-01
8.323752765000000942e-01,8.885288238525390625e-01
9.517765576469999766e-01,9.341238737106323242e-01
-1.341797045270000203e-02,1.867394149303436279e-01
9.400333570469999733e-01,9.471082687377929688e-01
8.926673637590000210e-01,9.303836822509765625e-01
9.963314793979999306e-01,8.838505744934082031e-01
9.346914115140000368e-01,9.284684658050537109e-01
8.840877997390000909e-01,8.955785036087036133e-01
9.643525586810000050e-01,9.519413113594055176e-01
8.725708515919999853e-01,9.323073625564575195e-01
9.041400209509999897e-01,9.286172389984130859e-01
2.048463209020000009e-01,4.199689924716949463e-01
9.129531825450000193e-01,9.235633611679077148e-01
9.101665746039999672e-01,8.604056835174560547e-01
9.918564495450000740e-01,9.436414241790771484e-01
7.501553845849999735e-01,5.634115934371948242e-01
8.622234055440000100e-01,8.726221919059753418e-01
9.419422460510000761e-01,7.755573987960815430e-01
9.101665746039999672e-01,9.116296768188476562e-01
8.658917328309999606e-01,8.651762008666992188e-01
9.090677941429999853e-01,4.485492110252380371e-01
9.025726511589999834e-01,9.041823148727416992e-01
9.402705584670000283e-01,8.980718851089477539e-01
8.850243516819999989e-01,9.253872632980346680e-01
9.098659354020000034e-01,7.658088207244873047e-01
9.193779019339999303e-01,8.440466523170471191e-01
9.432584014000000572e-01,9.568549394607543945e-01
8.196423926939999660e-01,8.791710138320922852e-01
