# observed_effect,predicted_effect
3.931733453089999997e-01,3.639653325080871582e-01
2.751760474780000076e-01,3.486883640289306641e-01
3.220188067870000115e-01,2.957318127155303955e-01
2.524902152829999746e-01,3.143154978752136230e-01
3.274386301780000119e-01,3.459727764129638672e-01
-2.328936824219999813e-01,2.662557959556579590e-01
5.939390889280000696e-01,5.184400677680969238e-01
2.665817561000000113e-01,3.209894895553588867e-01
3.550023034249999987e-01,3.461405634880065918e-01
2.809830011109999970e-01,2.957318127155303955e-01
2.626330276289999821e-01,3.005152940750122070e-01
3.794689347339999519e-01,3.143154978752136230e-01
3.203928597699999825e-01,3.039388358592987061e-01
3.915473982909999928e-01,3.367711007595062256e-01
3.329358796180000302e-01,3.560612797737121582e-01
4.524816984179999557e-01,3.074600100517272949e-01
2.713047450550000184e-01,3.248046040534973145e-01
3.337875661510000258e-01,3.229317665100097656e-01
2.002276325820000202e-01,3.181529641151428223e-01
5.894483781179999937e-01,3.184408545494079590e-01
6.088823162780000464e-01,3.120963573455810547e-01
1.642245200549999895e-01,3.013362288475036621e-01
6.057852743399999573e-01,8.292012810707092285e-01
4.771806078719999511e-01,3.470948934555053711e-01
3.794689347339999519e-01,3.184408545494079590e-01
1.835036061180000122e-01,3.322007060050964355e-01
5.195326563719999680e-01,3.439454734325408936e-01
3.709094850780000202e-02,3.460875749588012695e-01
3.114114381499999973e-01,3.668865263462066650e-01
-6.054329858190000274e-02,3.340414762496948242e-01
3.984383166029999979e-01,3.973295688629150391e-01
4.615405460859999809e-01,3.205329179763793945e-01
1.527654648850000074e-01,4.573077559471130371e-01
4.049421046720000361e-01,3.632490038871765137e-01
6.685003735810000070e-01,4.221866428852081299e-01
4.465973187360000041e-01,3.430621027946472168e-01
7.449198833960000155e-01,4.108077585697174072e-01
1.360414384209999994e-01,3.457851707935333252e-01
3.794689347339999519e-01,4.172959327697753906e-01
2.388632307570000002e-01,3.297989368438720703e-01
3.440852305939999800e-01,4.112191498279571533e-01
1.527654648850000074e-01,3.655649423599243164e-01
1.700314736890000122e-01,4.649999141693115234e-01
5.752794112519999947e-01,4.359065890312194824e-01
1.527654648850000074e-01,2.857338190078735352e-01
4.615405460859999809e-01,3.008149266242980957e-01
2.809830011109999970e-01,3.134688138961791992e-01
-4.873969749640000813e-03,2.331821024417877197e-01
-1.172191660439999977e-01,2.415233850479125977e-01
2.699110761829999761e-01,2.737349271774291992e-01
2.388632307570000002e-01,2.860533595085144043e-01
2.404117517260000170e-01,2.928130030632019043e-01
5.882095613430000647e-01,3.217971920967102051e-01
3.614286654459999970e-01,2.879640460014343262e-01
3.010363476579999698e-01,3.891626596450805664e-01
5.213134554860000547e-01,3.457863926887512207e-01
2.002276325820000202e-01,3.258756697177886963e-01
2.959262284609999738e-01,3.934104740619659424e-01
3.936379015990000285e-01,3.934627175331115723e-01
3.220188067870000115e-01,4.067697227001190186e-01
3.274386301780000119e-01,3.874641060829162598e-01
5.199972126619999413e-01,4.014826714992523193e-01
1.553205244839999943e-01,3.005078434944152832e-01
3.114114381499999973e-01,3.590185046195983887e-01
2.875642152289999975e-01,3.835536241531372070e-01
3.962703872459999999e-01,4.233475625514984131e-01
-4.289015953639999795e-02,4.152362048625946045e-01
6.376073802510000554e-01,4.089822769165039062e-01
6.222770226589999787e-01,3.582130074501037598e-01
3.794689347339999519e-01,5.435687303543090820e-01
6.951349342460000358e-01,5.073191523551940918e-01
6.796497245569999013e-01,5.343738198280334473e-01
5.285915040399999931e-01,4.220516681671142578e-01
