# observed_effect,predicted_effect
5.620009259789999767e-01,7.996407747268676758e-01
7.335070143740000104e-01,8.762870430946350098e-01
4.713642269109999949e-01,7.027872800827026367e-01
5.954392280920000058e-01,6.492333412170410156e-01
5.761691424989999755e-01,8.365182876586914062e-01
5.756577194890000193e-01,6.359297037124633789e-01
8.565132485349998825e-01,8.746731877326965332e-01
8.787322563429998956e-01,6.965752840042114258e-01
6.199828566130000107e-01,4.197048842906951904e-01
8.619075751320000034e-01,7.238113880157470703e-01
1.852512591209999893e-01,2.618980407714843750e-01
1.336840934269999948e-01,1.825070679187774658e-01
3.531955610230000375e-02,3.168474435806274414e-01
7.056205904410000063e-01,7.148633003234863281e-01
6.373706143980000238e-01,4.923607110977172852e-01
4.341780756750000525e-01,2.676867842674255371e-01
7.776797123089998487e-02,1.262208819389343262e-01
5.877480016149999598e-01,5.965175032615661621e-01
5.731832737680000456e-01,6.623818874359130859e-01
7.851135014190000483e-01,5.849995613098144531e-01
7.933640238590000671e-01,4.862804114818572998e-01
4.238719375690000457e-02,1.493371725082397461e-01
1.033075574550000042e-01,9.189164638519287109e-02
3.186482126669999970e-01,2.058592140674591064e-01
7.340472281020000711e-01,2.778223156929016113e-01
6.982310638789999135e-01,6.975381970405578613e-01
7.981964008069999394e-01,8.159387111663818359e-01
1.678599292859999925e-01,4.270550012588500977e-01
6.679881185279999967e-01,8.585838079452514648e-01
3.888287363069999891e-01,2.709062099456787109e-01
1.605897097539999985e-01,2.238809764385223389e-01
2.004445104030000147e-01,2.882179617881774902e-01
8.277582006710000329e-01,7.389805316925048828e-01
5.040451830780000586e-01,4.171179533004760742e-01
5.255775467480000573e-01,5.268206000328063965e-01
8.243848651430001062e-02,5.232638120651245117e-01
4.259851703950000013e-01,5.437449812889099121e-01
6.643691650849999908e-01,5.336603522300720215e-01
3.591499947849999957e-02,1.117539107799530029e-01
6.855322439340000296e-01,4.839589893817901611e-01
7.498708430029999983e-01,5.847554802894592285e-01
1.077668556869999961e+00,8.953707218170166016e-01
6.629711294169999825e-01,6.842650771141052246e-01
5.973381999229999684e-01,5.903044939041137695e-01
6.294706886219999520e-01,5.596185922622680664e-01
