# observed_effect,predicted_effect,CV1_pred,CV2_pred,CV3_pred,CV4_pred
8.801146399940000808e-01,4.149149060249328613e-01,4.100283086299896240e-01,4.346831142902374268e-01,4.440292418003082275e-01,4.365173280239105225e-01
3.215739950450000051e-01,4.513001441955566406e-01,4.257431924343109131e-01,4.441389441490173340e-01,4.056131243705749512e-01,5.631983876228332520e-01
2.635758188479999653e-01,4.076057970523834229e-01,4.095841646194458008e-01,4.604019522666931152e-01,4.579007327556610107e-01,4.341139197349548340e-01
1.613508758220000006e-01,4.181595444679260254e-01,3.889130949974060059e-01,4.223966896533966064e-01,3.874189257621765137e-01,4.772010147571563721e-01
1.484098127510000142e-01,3.895746469497680664e-01,3.888084888458251953e-01,4.129515886306762695e-01,3.950664699077606201e-01,4.134072661399841309e-01
7.919108159200000108e-02,3.772299885749816895e-01,3.779603838920593262e-01,3.967249989509582520e-01,3.560300171375274658e-01,3.846863806247711182e-01
2.294016422370000197e-01,4.647487103939056396e-01,4.364945590496063232e-01,4.443571567535400391e-01,4.045097827911376953e-01,5.759004950523376465e-01
9.748320631139999193e-02,3.897235989570617676e-01,3.687941133975982666e-01,4.581767916679382324e-01,3.620879650115966797e-01,3.749439120292663574e-01
7.407941412040000007e-01,4.171260595321655273e-01,4.077526926994323730e-01,4.486607313156127930e-01,4.431349039077758789e-01,4.101683497428894043e-01
6.350797957029999941e-01,3.930092751979827881e-01,3.932318091392517090e-01,3.926971852779388428e-01,2.812675833702087402e-01,4.043012857437133789e-01
1.844391532970000025e-01,3.751081824302673340e-01,3.680955171585083008e-01,3.896919190883636475e-01,3.356214165687561035e-01,3.922219574451446533e-01
6.394411189920000405e-02,3.468775749206542969e-01,3.481965065002441406e-01,3.912266492843627930e-01,3.111749291419982910e-01,3.931920230388641357e-01
7.353994243289999067e-02,2.622646391391754150e-01,2.582290172576904297e-01,3.162019848823547363e-01,2.514532506465911865e-01,3.301011025905609131e-01
2.092201660059999913e-01,3.793677687644958496e-01,3.924359083175659180e-01,4.344940781593322754e-01,3.806179761886596680e-01,4.482190310955047607e-01
6.820856341710000714e-02,4.123438596725463867e-01,4.165443778038024902e-01,4.647350609302520752e-01,4.831461608409881592e-01,5.348098278045654297e-01
2.163063376049999820e-01,3.559690117835998535e-01,3.565586805343627930e-01,4.043710827827453613e-01,3.225049972534179688e-01,3.974285721778869629e-01
2.406874476019999973e-02,2.745518088340759277e-01,2.796990871429443359e-01,3.157454133033752441e-01,2.686375975608825684e-01,3.726604282855987549e-01
5.854168971290000245e-01,3.881856203079223633e-01,3.973445296287536621e-01,4.391686916351318359e-01,3.864011466503143311e-01,4.442544877529144287e-01
5.799315903859999510e-01,2.877022027969360352e-01,2.981147766113281250e-01,3.270877301692962646e-01,2.990569472312927246e-01,3.759135305881500244e-01
9.392255329230000394e-01,4.074393510818481445e-01,4.164482653141021729e-01,4.396536350250244141e-01,3.648558855056762695e-01,4.415883123874664307e-01
6.117500840799999784e-01,4.123438596725463867e-01,4.165443778038024902e-01,4.647350609302520752e-01,4.831461608409881592e-01,5.348098278045654297e-01
9.400823199869999813e-01,4.316799342632293701e-01,4.371854066848754883e-01,5.432121753692626953e-01,4.986678063869476318e-01,5.763759613037109375e-01
1.915421667230000069e-01,3.743154704570770264e-01,3.972204923629760742e-01,4.181265532970428467e-01,3.651763200759887695e-01,4.237367510795593262e-01
-2.235160536609999762e-02,2.774958610534667969e-01,2.941532135009765625e-01,3.150940835475921631e-01,2.766197919845581055e-01,3.725643754005432129e-01
6.037501132220000066e-01,5.039121508598327637e-01,5.073388814926147461e-01,5.267559289932250977e-01,5.045367479324340820e-01,6.255342960357666016e-01
4.243194789879999873e-01,5.156272649765014648e-01,5.064870715141296387e-01,4.676975011825561523e-01,4.476015865802764893e-01,4.874053299427032471e-01
5.216102137420000062e-01,5.037240982055664062e-01,4.940226972103118896e-01,4.602021574974060059e-01,4.593270719051361084e-01,4.826052784919738770e-01
2.275295326940000029e-01,5.065134763717651367e-01,4.978239536285400391e-01,4.607429504394531250e-01,4.203834533691406250e-01,4.655550718307495117e-01
4.371992788490000614e-01,5.404229164123535156e-01,5.330843329429626465e-01,5.354951024055480957e-01,5.538640022277832031e-01,4.700534939765930176e-01
6.501524429670000327e-01,5.347781777381896973e-01,5.385120511054992676e-01,4.814131855964660645e-01,4.608651101589202881e-01,5.069313645362854004e-01
2.371252270939999685e-01,4.922412633895874023e-01,5.086190104484558105e-01,5.093581080436706543e-01,4.532583355903625488e-01,4.574077129364013672e-01
6.258367022460000761e-01,4.800754487514495850e-01,4.747786223888397217e-01,4.036077558994293213e-01,4.449924230575561523e-01,4.544579982757568359e-01
8.890376881200000581e-01,5.209506154060363770e-01,5.222969055175781250e-01,4.860315322875976562e-01,4.694793522357940674e-01,4.682779610157012939e-01
5.001688253730000172e-02,4.795376360416412354e-01,4.840163588523864746e-01,4.243154823780059814e-01,4.132041335105895996e-01,4.337239861488342285e-01
3.020812771090000126e-01,4.593749642372131348e-01,4.633579254150390625e-01,4.355905354022979736e-01,4.082014858722686768e-01,4.725403785705566406e-01
4.515481927740000456e-01,5.055164694786071777e-01,5.046855211257934570e-01,4.636012613773345947e-01,4.823452234268188477e-01,4.567591249942779541e-01
1.089762083779999946e+00,5.134819746017456055e-01,5.045711994171142578e-01,4.581947326660156250e-01,4.476737380027770996e-01,4.913701117038726807e-01
2.280476267509999877e-01,4.827373921871185303e-01,4.779362380504608154e-01,4.304013848304748535e-01,4.581435024738311768e-01,4.659138023853302002e-01
3.199766585480000036e-01,5.092985033988952637e-01,5.220350027084350586e-01,5.232275128364562988e-01,5.623847246170043945e-01,4.608577191829681396e-01
9.307435900499999581e-01,5.828748941421508789e-01,5.759466290473937988e-01,5.495684742927551270e-01,5.627005100250244141e-01,4.965438842773437500e-01
5.236721308620000404e-01,4.197871088981628418e-01,4.137707352638244629e-01,4.216173589229583740e-01,4.036724567413330078e-01,4.325280189514160156e-01
1.435559701520000009e-01,3.426251411437988281e-01,3.331117630004882812e-01,3.523440957069396973e-01,3.583525419235229492e-01,3.312202394008636475e-01
9.753715732200000932e-02,3.426251411437988281e-01,3.331117630004882812e-01,3.523440957069396973e-01,3.583525419235229492e-01,3.312202394008636475e-01
2.554833322610000068e-01,3.889094293117523193e-01,3.854414224624633789e-01,3.924540281295776367e-01,3.678297698497772217e-01,3.738716840744018555e-01
5.704446671760000642e-01,4.704270958900451660e-01,4.654892086982727051e-01,5.154809951782226562e-01,4.792353212833404541e-01,5.317609906196594238e-01
