# observed_effect,predicted_effect
1.809222853190000091e-01,4.460609853267669678e-01
1.553060110939999960e-01,3.358602225780487061e-01
6.157648965720000644e-01,2.616769671440124512e-01
1.934819158940000172e-01,4.241983890533447266e-01
7.397304872709999923e-01,3.792206048965454102e-01
2.019627578889999775e-01,6.199319362640380859e-01
4.731448767479999873e-01,5.156024694442749023e-01
5.818567118230000279e-01,4.442230761051177979e-01
2.347271345660000008e-01,2.485452294349670410e-01
1.047987188720000074e+00,4.881495237350463867e-01
1.465740312250000121e-01,3.728626370429992676e-01
1.978001829769999997e-01,2.028530836105346680e-01
6.197548411159999882e-01,2.496663331985473633e-01
7.069493411489998769e-01,5.118442773818969727e-01
1.787491836650000054e-01,5.231371521949768066e-01
3.006469924779999747e-01,2.947179675102233887e-01
3.094384467029999697e-01,3.244997262954711914e-01
5.552015791750000151e-01,4.624049663543701172e-01
2.673557203870000065e-01,1.872358620166778564e-01
1.329398185790000020e-01,4.265229403972625732e-01
1.906482574489999915e-01,2.017228007316589355e-01
2.071132347309999899e-01,3.360880911350250244e-01
6.096640152100000210e-01,5.763589739799499512e-01
4.436709317279999981e-02,5.576818585395812988e-01
2.212603431459999881e-01,3.686217367649078369e-01
-7.227380827740000069e-03,2.614151239395141602e-01
6.186387987720000092e-01,1.931419670581817627e-01
2.554833322610000068e-01,3.889094293117523193e-01
1.789899997830000089e-01,4.637269973754882812e-01
2.706651250709999901e-01,4.555617570877075195e-01
1.001479258860000082e-01,3.973978161811828613e-01
7.934939566209999739e-01,5.133935213088989258e-01
7.973406852740000383e-01,5.050591230392456055e-01
1.743621096240000057e-01,3.060091733932495117e-01
7.409543082639999945e-01,4.199172854423522949e-01
6.233624581559999989e-01,4.875087738037109375e-01
4.777795847669999985e-01,3.185203373432159424e-01
7.587241293699998890e-01,5.397913455963134766e-01
1.490468071240000081e-01,3.532034754753112793e-01
1.515693841519999974e-01,3.277994096279144287e-01
3.105944934169999616e-01,4.847703278064727783e-01
2.309449345320000180e-01,3.859681785106658936e-01
7.286473697429999286e-01,5.222548246383666992e-01
5.471721994550000634e-01,3.835315704345703125e-01
6.651956422379999845e-01,4.133895337581634521e-01
8.941352795649999408e-01,3.748634159564971924e-01
1.567868805800000098e-01,4.200323522090911865e-01
1.943978524680000097e-01,3.134353756904602051e-01
7.877085621480000022e-01,3.680775761604309082e-01
2.043650288910000001e-01,3.189388513565063477e-01
2.082915224500000162e-01,2.044905126094818115e-01
8.678767357969999763e-01,4.033051729202270508e-01
4.537218885250000056e-01,4.804128706455230713e-01
7.633754883319999740e-01,4.782462418079376221e-01
3.090693970320000372e-01,4.207681417465209961e-01
2.370553645829999723e-01,4.965043365955352783e-01
6.256733851539999502e-01,4.728117883205413818e-01
3.059902787240000310e-01,4.468753039836883545e-01
3.403578810729999682e-01,3.624601662158966064e-01
1.649015491330000083e-01,3.402568101882934570e-01
5.529429616940000347e-01,4.832556247711181641e-01
5.079703296509999744e-01,3.906760513782501221e-01
8.964247313960001240e-02,3.996087312698364258e-01
1.679453398569999978e-01,2.489519119262695312e-01
2.893795190249999760e-01,4.312230646610260010e-01
8.328229450950000445e-02,3.711269795894622803e-01
1.196036406440000033e-01,4.600497186183929443e-01
4.425106269290000061e-01,2.997299432754516602e-01
1.136256071599999751e-01,2.097800672054290771e-01
1.011679835130000038e+00,4.611798524856567383e-01
1.370932335579999883e-01,3.917143344879150391e-01
9.532726640650000804e-02,3.524315357208251953e-01
7.514888609649998941e-01,6.210008859634399414e-01
5.434247481059999441e-01,5.598698854446411133e-01
1.254716277829999838e+00,4.849790036678314209e-01
7.333181592980000385e-01,2.681224644184112549e-01
5.821998804600000410e-01,2.570095062255859375e-01
2.251457256590000400e-02,4.088575839996337891e-01
6.120726093110000487e-01,5.759886503219604492e-01
2.378206533480000107e-01,3.129525780677795410e-01
6.577122701899998924e-01,4.512573778629302979e-01
1.218596854570000027e-01,3.470592200756072998e-01
9.809810071850000313e-01,6.150485873222351074e-01
3.855201636450000247e-01,4.860793054103851318e-01
5.341909794670000045e-01,5.196313261985778809e-01
2.101075837489999876e-01,5.558086037635803223e-01
3.937253436199999457e-01,4.075574278831481934e-01
2.696528792900000360e-01,3.744581341743469238e-01
3.279653426940000172e-01,4.017845392227172852e-01
2.263966848979999946e-01,4.150794148445129395e-01
9.359683374150000734e-01,4.771678745746612549e-01
3.306942648229999615e-01,4.143408536911010742e-01
1.432082140029999895e-01,4.910420775413513184e-01
2.078051400400000026e-01,4.229872822761535645e-01
7.587171142720000594e-01,4.052592217922210693e-01
2.730944790670000177e-01,4.759593307971954346e-01
5.862832341539999659e-01,3.946636617183685303e-01
9.143845034139999606e-02,3.072212934494018555e-01
7.800711550960000018e-01,5.085299015045166016e-01
4.357284079930000276e-02,3.261509239673614502e-01
6.236553263220000198e-02,2.522573173046112061e-01
1.674305729489999894e-01,3.491353392601013184e-01
5.347305416219999552e-01,4.773925542831420898e-01
6.300720510559999488e-01,4.041642546653747559e-01
2.868748398529999966e-01,4.213033020496368408e-01
8.048753284940000086e-01,4.837018549442291260e-01
7.575304265539999360e-01,3.862553834915161133e-01
3.820081669349999487e-01,5.192588567733764648e-01
2.884128777350000172e-01,2.922679781913757324e-01
2.262685433720000028e-01,3.516911566257476807e-01
3.887656377229999904e-01,4.205553531646728516e-01
2.405754139400000102e-01,3.846661448478698730e-01
4.243194789879999873e-01,5.156272649765014648e-01
6.973215116099999999e-01,4.372113049030303955e-01
8.205676171799999308e-01,6.101841330528259277e-01
4.221363038589999728e-01,3.644233345985412598e-01
7.675365583589999208e-01,3.797172009944915771e-01
-3.396559832769999870e-02,3.837806880474090576e-01
1.911027846130000096e-01,4.305862784385681152e-01
5.956900889249999720e-02,3.004998564720153809e-01
2.172825362680000094e-01,3.447765707969665527e-01
1.020307714610000138e+00,4.381921291351318359e-01
8.722614648530000458e-01,4.202186763286590576e-01
2.115753866189999943e-01,4.437474608421325684e-01
2.419464461459999993e-01,2.301041781902313232e-01
4.930361063529999782e-02,3.623788356781005859e-01
5.686152366519999779e-01,4.429027140140533447e-01
9.596605243910000249e-02,3.538869023323059082e-01
8.843873071919999829e-01,4.881859421730041504e-01
5.746186527019999657e-01,4.420595467090606689e-01
2.569539593110000131e-01,3.226026296615600586e-01
7.464481309119999075e-01,4.676082730293273926e-01
1.516167224290000115e-01,2.986785173416137695e-01
1.956050692729999763e-01,4.134882688522338867e-01
1.042355960700000125e-02,3.913223445415496826e-01
5.030363665889999725e-01,3.674429059028625488e-01
5.123026260299999857e-01,3.081931471824645996e-01
5.511466708700000217e-01,4.892682135105133057e-01
3.829119099279999494e-01,3.992810547351837158e-01
1.783117804969999998e-01,3.236666917800903320e-01
3.762980210729999775e-01,4.180188179016113281e-01
2.910572705430000129e-01,5.296644568443298340e-01
6.027160312370000161e-01,5.309015512466430664e-01
1.080815084239999946e-01,4.187781810760498047e-01
7.287707240309999612e-01,2.787420153617858887e-01
1.931155884219999952e-01,2.771813571453094482e-01
2.545275218920000082e-01,3.799330294132232666e-01
1.577673988289999829e-01,3.993958532810211182e-01
1.757639851009999976e-01,3.872239589691162109e-01
6.047785849719999884e-01,3.786970973014831543e-01
1.746055233500000137e-01,4.109944403171539307e-01
9.016708001620000745e-01,3.977353274822235107e-01
9.714195879669999811e-02,5.479086041450500488e-01
1.006896715819999982e-01,2.658260464668273926e-01
2.236831242800000341e-01,2.915575504302978516e-01
1.128780564749999951e-02,2.966997623443603516e-01
7.674576621480000416e-01,4.291896522045135498e-01
6.545085208169999502e-01,3.795435130596160889e-01
1.905882814999999841e-01,3.977181017398834229e-01
-3.247920083609999453e-02,3.588207066059112549e-01
5.001688253730000172e-02,4.795376360416412354e-01
2.508938180549999952e-01,2.792237997055053711e-01
6.764399575980000190e-01,4.780888259410858154e-01
1.575421422010000183e-01,3.227795362472534180e-01
9.929525486860001082e-02,3.463026285171508789e-01
2.869367040420000015e-01,3.595626950263977051e-01
8.509464810739999496e-01,5.288397073745727539e-01
7.082435374709999953e-01,5.147038698196411133e-01
7.379359353700000179e-01,4.631435573101043701e-01
7.713997995980000910e-01,4.084560275077819824e-01
1.187121700760000037e-01,3.351061344146728516e-01
3.133999602070000057e-01,3.609431385993957520e-01
5.642537757729999548e-01,4.801430404186248779e-01
1.658447236310000017e-01,4.075220823287963867e-01
-3.338345992950000202e-02,2.374742031097412109e-01
5.236257550520000414e-01,3.554652333259582520e-01
3.548669464379999861e-01,3.704060912132263184e-01
9.191085648729999669e-01,5.837668180465698242e-01
1.468208791120000078e-01,3.115985989570617676e-01
9.741739400250000180e-01,4.560994505882263184e-01
6.925518379299999694e-02,2.573321759700775146e-01
8.094627047490000615e-01,4.573762714862823486e-01
4.399962671700000105e-01,5.433895587921142578e-01
1.672582148500000032e-01,4.588935971260070801e-01
2.751494106879999735e-01,6.013609170913696289e-01
8.152195554779999298e-02,4.850180149078369141e-01
1.238392540970000011e-01,3.311393260955810547e-01
6.145197025259999668e-01,4.010849595069885254e-01
1.523617275280000072e-01,4.110516011714935303e-01
7.191783053129999770e-01,2.763140201568603516e-01
3.653693977820000049e-01,2.923358678817749023e-01
1.013241521629999919e+00,4.127454757690429688e-01
5.366510596619999962e-01,4.961007237434387207e-01
7.047936412649999927e-01,5.660217404365539551e-01
2.494064565610000228e-01,5.104323029518127441e-01
3.611477273170000113e-01,4.204201698303222656e-01
3.420192361779999524e-01,3.877656459808349609e-01
6.591932202139999530e-01,4.199208617210388184e-01
1.400303746809999916e-01,4.754650294780731201e-01
2.959665725330000163e-01,3.161627352237701416e-01
5.702076979619999930e-01,4.104305207729339600e-01
7.634940391789999392e-01,4.168617725372314453e-01
4.380449863950000022e-01,4.225376248359680176e-01
3.446555220649999973e-01,3.688219785690307617e-01
6.665663524039999732e-01,5.757611989974975586e-01
4.953741738740000122e-01,4.394245445728302002e-01
7.411637484890000183e-01,3.761421740055084229e-01
6.274095422909999886e-01,4.916987717151641846e-01
-1.509460427349999974e-02,4.571223556995391846e-01
9.226900441520000107e-02,3.975354731082916260e-01
1.225031380560000077e-01,3.188834786415100098e-01
7.068903089229999770e-01,5.794079899787902832e-01
1.124091559750000080e-01,3.275523185729980469e-01
4.656754172150000259e-02,4.147104620933532715e-01
1.017652519099999875e+00,4.400713145732879639e-01
3.521297045809999582e-01,4.084202051162719727e-01
7.390744787819998607e-02,3.751469254493713379e-01
1.604868461869999874e-01,2.865908741950988770e-01
7.070394110240000307e-01,3.687694072723388672e-01
2.302964419139999774e-01,4.689927697181701660e-01
5.400956981180000671e-01,3.200277686119079590e-01
1.349674351420000251e+00,4.437298476696014404e-01
5.791950282269999750e-01,3.734214901924133301e-01
3.583721316400000356e-01,3.176031112670898438e-01
7.135066627739999889e-02,3.531718850135803223e-01
1.900970970259999726e-01,3.702355921268463135e-01
4.173998347430000339e-02,3.745347261428833008e-01
8.567619712209999516e-01,4.022908508777618408e-01
7.186880973650000559e-02,2.113033533096313477e-01
3.438718973909999921e-01,4.132644534111022949e-01
5.070839922940000299e-01,3.295650482177734375e-01
2.160623330130000130e-01,4.104157388210296631e-01
1.511398608039999925e-01,5.011125802993774414e-01
1.490006188620000005e-01,2.741782963275909424e-01
2.807236534409999762e-01,3.725097179412841797e-01
2.163063376049999820e-01,3.559690117835998535e-01
6.765902564149999243e-01,3.412738442420959473e-01
4.654877389320000169e-01,4.983725547790527344e-01
5.489648374880000681e-01,4.480809867382049561e-01
5.305292055479999824e-01,4.780818223953247070e-01
3.861682992759999378e-01,6.063840985298156738e-01
-1.188820569580000125e-01,3.153358995914459229e-01
5.281283913250000434e-02,4.316657185554504395e-01
4.179925137650000178e-01,4.277405738830566406e-01
1.893298129039999722e-01,3.291598856449127197e-01
2.429350807950000080e-01,4.946576356887817383e-01
9.209340999909999548e-01,4.333534240722656250e-01
1.130706934479999981e-01,2.769273519515991211e-01
2.715661857889999919e-01,3.807841837406158447e-01
5.734859549669999446e-01,4.569138586521148682e-01
1.290657440369999964e-01,3.786791563034057617e-01
4.820450448190000126e-01,4.612973928451538086e-01
4.240181418039999928e-01,4.649955332279205322e-01
2.574863575790000136e-01,2.019837498664855957e-01
5.732046182719999772e-01,4.072605967521667480e-01
9.020058044789999174e-01,5.237137079238891602e-01
5.737509968580000175e-01,4.363456964492797852e-01
2.861433243859999864e-01,4.390231370925903320e-01
1.107262321150000034e-01,3.575128316879272461e-01
-6.454934998819999992e-02,3.247545957565307617e-01
7.156176128540000514e-01,3.280196189880371094e-01
6.126276758349999962e-01,4.509967863559722900e-01
1.224388532409999897e+00,4.201387465000152588e-01
1.604012859349999987e-01,4.414024055004119873e-01
1.497471962499999920e-01,4.432131946086883545e-01
6.771200272650000906e-01,3.375554382801055908e-01
1.248491155220000204e+00,5.684348940849304199e-01
2.226624181380000012e-01,5.700048804283142090e-01
6.166723194640000294e-01,4.977304935455322266e-01
1.228913173530000041e-01,2.949269711971282959e-01
9.110590098489999844e-02,3.215000033378601074e-01
1.050463719649999961e+00,3.903316259384155273e-01
-5.015618734939999990e-02,2.901486158370971680e-01
2.116010660210000116e-01,3.636342287063598633e-01
5.655565303600000870e-01,6.119753122329711914e-01
6.249549297380000423e-01,5.253695249557495117e-01
2.261480561529999878e-01,4.320783019065856934e-01
1.322145368310000124e-01,3.701966404914855957e-01
8.062708303589999348e-01,5.292711853981018066e-01
2.905226499749999913e-01,4.007937312126159668e-01
4.507414884239999697e-01,4.911373853683471680e-01
1.525824212130000024e-01,3.566234707832336426e-01
4.786094961899999278e-01,3.625212907791137695e-01
1.733511570340000030e-01,3.073852956295013428e-01
6.458638981559999825e-01,4.224974811077117920e-01
2.661298879399999762e-01,4.296037256717681885e-01
1.147913458979999968e-01,4.366534352302551270e-01
4.247560262230000161e-01,3.835981190204620361e-01
7.486156739040000785e-01,3.757309317588806152e-01
5.526378811750000120e-01,5.079147815704345703e-01
1.151737213749999961e-01,4.328968822956085205e-01
8.717393308380000372e-01,3.654598295688629150e-01
1.190422978289999989e-01,3.711235225200653076e-01
1.644748276209999915e-01,4.588036835193634033e-01
1.338114042999999920e-01,2.281535863876342773e-01
9.486271281170000069e-01,5.036619305610656738e-01
5.577372476800000062e-02,5.309972167015075684e-01
1.355467776219999865e-01,4.509399831295013428e-01
9.853296300580000056e-02,4.767353236675262451e-01
6.691612893159999409e-01,3.871153891086578369e-01
6.688248848489999343e-01,3.623134493827819824e-01
5.615821240990000185e-02,4.089478254318237305e-01
2.360436478759999901e-01,3.727119565010070801e-01
6.923512096250000747e-01,5.156008601188659668e-01
4.240659291480000093e-01,4.317235946655273438e-01
3.059249782559999575e-01,4.519717097282409668e-01
1.501164753529999896e-01,3.403146266937255859e-01
4.578027740739999962e-01,4.916416406631469727e-01
2.158697920120000169e-01,2.025423049926757812e-01
3.047734369289999967e-01,3.591028451919555664e-01
2.039572148279999997e-01,2.960286140441894531e-01
3.313391843940000081e-01,3.957496881484985352e-01
6.612996836250000232e-01,4.517668485641479492e-01
1.892361509189999791e-01,3.916166722774505615e-01
6.397996152789999780e-01,5.169453024864196777e-01
1.809952793559999745e-02,2.709429264068603516e-01
1.157678451569999906e-01,4.217199683189392090e-01
2.593555387370000131e-01,4.197531938552856445e-01
9.106181777359999563e-01,4.229226112365722656e-01
3.941257747440000125e-01,4.139118194580078125e-01
7.861434955989999862e-01,5.073879361152648926e-01
1.132445353580000119e-01,3.389698266983032227e-01
4.758564173340000258e-01,3.719658255577087402e-01
2.685809996680000311e-01,3.081931471824645996e-01
1.148187097900000009e-01,3.432503938674926758e-01
2.700562933900000351e-01,3.773301541805267334e-01
1.332715089849999812e-01,4.448035061359405518e-01
