# observed_effect,predicted_effect
3.247941496750000323e-01,3.563911020755767822e-01
7.595009615459999974e-01,4.938875436782836914e-01
9.223362859389999668e-02,3.626389801502227783e-01
7.955877477320000279e-01,4.933569133281707764e-01
3.516673224310000179e-01,4.025848507881164551e-01
1.088092777500000025e-01,3.750835955142974854e-01
2.810557933370000372e-01,3.526323139667510986e-01
3.180025630569999762e-01,4.436293840408325195e-01
4.295961905830000260e-01,3.147822022438049316e-01
2.686242443490000076e-01,2.989252805709838867e-01
6.867891175110000246e-01,4.006220996379852295e-01
4.905698450450000081e-01,4.724888205528259277e-01
6.841297817589999664e-01,4.450494349002838135e-01
4.799910282750000090e-01,2.476590275764465332e-01
8.397242402989999466e-01,4.316116869449615479e-01
1.818429111210000115e-01,2.672181725502014160e-01
3.435044908560000443e-01,3.981054425239562988e-01
1.317962120869999865e-01,3.228479623794555664e-01
9.239204462400000262e-01,4.349357485771179199e-01
9.586013016879999515e-01,5.596438646316528320e-01
8.455894106630000573e-02,2.602407038211822510e-01
4.371992788490000614e-01,5.404229164123535156e-01
6.106784959469999663e-01,4.755644202232360840e-01
1.911181892780000058e-01,5.017989873886108398e-01
1.778549856559999975e-01,4.282394349575042725e-01
5.635835722820000671e-01,4.637838006019592285e-01
2.757543601219999974e-02,2.585128843784332275e-01
4.865337921389999987e-01,4.321118295192718506e-01
3.718965265959999766e-01,4.061973094940185547e-01
1.748847100739999993e-01,3.402532339096069336e-01
8.355555115160000490e-01,5.549281835556030273e-01
3.140565580530000345e-01,4.583355486392974854e-01
3.039833203530000194e-01,3.186972141265869141e-01
2.108979842419999862e-01,3.201559185981750488e-01
8.205775546269999943e-01,4.352709650993347168e-01
3.764393759400000428e-01,4.232181906700134277e-01
2.846214897050000081e-01,4.484938383102416992e-01
1.524402388480000092e-01,2.111170887947082520e-01
1.496570913749999954e-01,4.094659090042114258e-01
7.931781484340000299e-01,5.525826811790466309e-01
1.519171438480000080e-01,4.475053548812866211e-01
1.018928261489999931e+00,5.555711388587951660e-01
4.666413988310000316e-01,3.948138356208801270e-01
5.480350938479999767e-01,5.720049142837524414e-01
6.192961334659999872e-01,5.455911755561828613e-01
7.215116601229999427e-01,5.035467147827148438e-01
8.427717712060001087e-02,2.301041781902313232e-01
1.034779707220000011e+00,5.649684667587280273e-01
1.218141289650000007e-02,3.306775093078613281e-01
3.438755843339999507e-01,3.685643672943115234e-01
1.022544602579999795e+00,4.663060605525970459e-01
7.919108159200000108e-02,3.772299885749816895e-01
8.505217576729999784e-01,4.902738928794860840e-01
1.307917140700000092e-01,3.339046239852905273e-01
6.520402116519999902e-01,5.137602090835571289e-01
7.353994243289999067e-02,2.622646391391754150e-01
2.552275200910000263e-01,3.908279538154602051e-01
6.971094111369999791e-01,4.158670902252197266e-01
2.550575273089999984e-01,3.254966735839843750e-01
4.804745948179999782e-01,3.926416635513305664e-01
3.246228341560000175e-01,3.553620576858520508e-01
2.488407992430000104e-01,3.520011007785797119e-01
1.772151549780000002e-01,4.237938225269317627e-01
1.417360417219999946e-01,3.172903358936309814e-01
2.508668642590000109e-01,3.080875277519226074e-01
8.152363684739999394e-01,5.355541110038757324e-01
8.464386205949999686e-01,5.859874486923217773e-01
6.147343265039999921e-02,2.258344888687133789e-01
2.069159493809999972e-01,3.525446653366088867e-01
1.694849316539999706e-01,4.455476701259613037e-01
1.124281736729999981e+00,6.548750996589660645e-01
1.285997741719999976e-01,2.217451930046081543e-01
2.385514597120000080e-01,2.199127674102783203e-01
4.662450202149999723e-01,2.295463681221008301e-01
5.010815646039999960e-01,4.106030166149139404e-01
6.037501132220000066e-01,5.039121508598327637e-01
2.564862726559999917e-01,4.471475183963775635e-01
