# observed_effect,predicted_effect
9.721115475489999769e-01,6.783415079116821289e-01
9.801865721920000052e-01,6.355988979339599609e-01
7.707423972669998902e-01,4.249411821365356445e-01
6.834795331940000107e-01,3.751693964004516602e-01
5.638923415339999190e-01,2.410903871059417725e-01
4.070438440149999892e-01,4.879349172115325928e-01
1.051041016319999993e-01,1.133551001548767090e-01
4.896506750429999721e-01,1.100796163082122803e-01
2.859137552239999769e-01,5.381615161895751953e-01
4.309836987389999430e-01,5.815519094467163086e-01
7.528207313200000472e-01,4.620308578014373779e-01
1.517547073140000091e-01,2.225584983825683594e-01
1.411312431509999799e-01,6.978904008865356445e-01
7.728274976520000950e-01,6.934293508529663086e-01
9.767197975360000228e-01,7.381147146224975586e-01
3.395903305520000526e-01,3.299922943115234375e-01
1.304151232909999958e-01,2.217344641685485840e-01
6.504599023210000386e-01,3.852052390575408936e-01
1.486698783129999923e-01,2.561310529708862305e-01
1.878440268519999956e-01,3.551315665245056152e-01
1.008783413029999965e+00,5.583797693252563477e-01
9.827463722640000787e-01,6.344590187072753906e-01
3.475284827319999881e-01,3.953146636486053467e-01
6.936147726639999012e-02,2.397194206714630127e-01
5.454274645090000373e-01,7.270373702049255371e-01
6.337015110370000093e-01,5.929117798805236816e-01
2.067251790839999825e-01,3.029597401618957520e-01
1.006468843700000004e+00,9.460971355438232422e-01
9.039629710420000741e-01,7.990384101867675781e-01
3.474258101930000064e-01,5.133474469184875488e-01
8.328532530819999780e-01,6.184961795806884766e-01
1.415143615030000079e-01,4.744706451892852783e-01
8.517348577040000368e-01,4.011173248291015625e-01
1.369393297770000184e-01,7.857686281204223633e-01
9.698359413629999981e-01,3.550087213516235352e-01
3.945476719150000089e-01,5.372830033302307129e-01
6.104777904739999705e-01,6.116149425506591797e-01
7.042453157430000887e-01,5.310581326484680176e-01
9.850067576959999904e-01,6.832914948463439941e-01
2.203742787569999972e-01,2.274685502052307129e-01
8.057517028870000431e-01,7.186033725738525391e-01
7.848751079809999087e-01,6.608418822288513184e-01
4.224188141369999983e-01,7.229862213134765625e-01
9.574385254930000144e-01,2.229875326156616211e-01
7.282338190209999285e-01,5.245574116706848145e-01
1.637620401500000100e-01,3.388352096080780029e-01
6.401527476780000114e-01,2.762212157249450684e-01
2.404787108879999913e-01,1.540597677230834961e-01
3.244298611420000089e-01,5.282110571861267090e-01
8.567111195229999421e-01,7.959178686141967773e-01
1.319184180639999988e-02,1.902888417243957520e-01
1.822371025059999761e-01,6.263360977172851562e-01
5.716621625819999775e-01,6.141528487205505371e-01
6.606922428190000751e-01,3.504938483238220215e-01
3.932967065699999876e-01,7.217738032341003418e-01
1.002661988540000104e+00,7.394577264785766602e-01
1.923910136950000016e-01,1.113617122173309326e-01
2.805715467689999798e-01,2.974273264408111572e-01
-6.724293646339999861e-03,1.038999259471893311e-01
4.066623588259999922e-01,6.321821808815002441e-01
4.492805181019999816e-01,5.466455817222595215e-01
5.593944907980000769e-01,4.361062645912170410e-01
7.738591363169999848e-01,7.856913805007934570e-01
2.784606094450000069e-01,6.656018495559692383e-01
6.216261709320000106e-01,6.285474896430969238e-01
5.610764252679999453e-01,5.430009365081787109e-01
2.285756993149999916e-01,1.528751552104949951e-01
5.955553975239999964e-01,6.362439990043640137e-01
3.041036559099999925e-01,5.028132796287536621e-01
1.708103769279999962e-01,3.421427607536315918e-01
-6.768236017970000011e-03,1.119138002395629883e-01
