# observed_effect,predicted_effect,CV1_pred,CV2_pred,CV3_pred,CV4_pred
3.931733453089999997e-01,3.639653325080871582e-01,3.711838722229003906e-01,3.533524870872497559e-01,3.697699308395385742e-01,3.832516074180603027e-01
2.751760474780000076e-01,3.486883640289306641e-01,3.394917845726013184e-01,3.515261411666870117e-01,3.574312031269073486e-01,3.585260808467864990e-01
3.220188067870000115e-01,2.957318127155303955e-01,3.042380213737487793e-01,2.639015913009643555e-01,3.135999143123626709e-01,3.030078411102294922e-01
2.524902152829999746e-01,3.143154978752136230e-01,3.155500888824462891e-01,2.743659019470214844e-01,3.262058198451995850e-01,3.239373564720153809e-01
3.274386301780000119e-01,3.459727764129638672e-01,3.451742529869079590e-01,3.437913358211517334e-01,3.469504415988922119e-01,3.470014333724975586e-01
-2.328936824219999813e-01,2.662557959556579590e-01,2.734264433383941650e-01,2.562104463577270508e-01,3.136123418807983398e-01,2.594547271728515625e-01
5.939390889280000696e-01,5.184400677680969238e-01,5.326986312866210938e-01,5.598700642585754395e-01,5.752128362655639648e-01,5.271418094635009766e-01
2.665817561000000113e-01,3.209894895553588867e-01,3.239005208015441895e-01,2.783060669898986816e-01,3.243660926818847656e-01,3.314917683601379395e-01
3.550023034249999987e-01,3.461405634880065918e-01,3.538379967212677002e-01,3.495824337005615234e-01,3.714369833469390869e-01,3.571750223636627197e-01
2.809830011109999970e-01,2.957318127155303955e-01,3.042380213737487793e-01,2.639015913009643555e-01,3.135999143123626709e-01,3.030078411102294922e-01
2.626330276289999821e-01,3.005152940750122070e-01,3.049953281879425049e-01,2.780410051345825195e-01,3.266610503196716309e-01,3.121738731861114502e-01
3.794689347339999519e-01,3.143154978752136230e-01,3.155500888824462891e-01,2.743659019470214844e-01,3.262058198451995850e-01,3.239373564720153809e-01
3.203928597699999825e-01,3.039388358592987061e-01,3.093326091766357422e-01,2.788023650646209717e-01,3.236398398876190186e-01,3.198522329330444336e-01
3.915473982909999928e-01,3.367711007595062256e-01,3.404591977596282959e-01,3.375398516654968262e-01,3.429508805274963379e-01,3.397949934005737305e-01
3.329358796180000302e-01,3.560612797737121582e-01,3.663593530654907227e-01,3.440673351287841797e-01,3.769540190696716309e-01,3.853466510772705078e-01
4.524816984179999557e-01,3.074600100517272949e-01,3.166228532791137695e-01,3.311744332313537598e-01,3.414036631584167480e-01,3.277299404144287109e-01
2.713047450550000184e-01,3.248046040534973145e-01,3.384001255035400391e-01,3.113599121570587158e-01,3.750935196876525879e-01,3.490775227546691895e-01
3.337875661510000258e-01,3.229317665100097656e-01,3.234981894493103027e-01,3.315485715866088867e-01,3.357582390308380127e-01,3.597865700721740723e-01
2.002276325820000202e-01,3.181529641151428223e-01,3.191716670989990234e-01,2.852000594139099121e-01,3.239610791206359863e-01,3.251089155673980713e-01
5.894483781179999937e-01,3.184408545494079590e-01,3.200511634349822998e-01,2.894649803638458252e-01,3.297246694564819336e-01,3.340362012386322021e-01
6.088823162780000464e-01,3.120963573455810547e-01,3.088641762733459473e-01,2.850829660892486572e-01,3.255983889102935791e-01,3.205197453498840332e-01
1.642245200549999895e-01,3.013362288475036621e-01,3.009653687477111816e-01,2.848667502403259277e-01,3.219321370124816895e-01,3.200636804103851318e-01
6.057852743399999573e-01,8.292012810707092285e-01,8.249714374542236328e-01,7.080646753311157227e-01,8.544321060180664062e-01,6.977483034133911133e-01
4.771806078719999511e-01,3.470948934555053711e-01,3.358335494995117188e-01,3.249858021736145020e-01,3.440068364143371582e-01,3.615339100360870361e-01
3.794689347339999519e-01,3.184408545494079590e-01,3.200511634349822998e-01,2.894649803638458252e-01,3.297246694564819336e-01,3.340362012386322021e-01
1.835036061180000122e-01,3.322007060050964355e-01,3.228138685226440430e-01,3.125097751617431641e-01,3.317753076553344727e-01,3.341197967529296875e-01
5.195326563719999680e-01,3.439454734325408936e-01,3.339272737503051758e-01,3.198813498020172119e-01,3.349870145320892334e-01,3.556329607963562012e-01
3.709094850780000202e-02,3.460875749588012695e-01,3.325635194778442383e-01,3.222673833370208740e-01,3.385813236236572266e-01,3.638552427291870117e-01
3.114114381499999973e-01,3.668865263462066650e-01,3.483054041862487793e-01,3.391383886337280273e-01,3.480743169784545898e-01,3.721212148666381836e-01
-6.054329858190000274e-02,3.340414762496948242e-01,3.320834636688232422e-01,3.199384808540344238e-01,3.541463017463684082e-01,3.507390916347503662e-01
3.984383166029999979e-01,3.973295688629150391e-01,3.840204477310180664e-01,3.847090601921081543e-01,3.800819814205169678e-01,3.942628502845764160e-01
4.615405460859999809e-01,3.205329179763793945e-01,3.154255747795104980e-01,3.191104531288146973e-01,3.395237624645233154e-01,3.401653170585632324e-01
1.527654648850000074e-01,4.573077559471130371e-01,4.506717324256896973e-01,4.138121008872985840e-01,4.256286323070526123e-01,4.399321973323822021e-01
4.049421046720000361e-01,3.632490038871765137e-01,3.582546412944793701e-01,3.565219044685363770e-01,3.918382227420806885e-01,4.032599031925201416e-01
6.685003735810000070e-01,4.221866428852081299e-01,4.156488776206970215e-01,4.048222303390502930e-01,4.489786624908447266e-01,4.126935899257659912e-01
4.465973187360000041e-01,3.430621027946472168e-01,3.369160890579223633e-01,3.380333185195922852e-01,3.770138621330261230e-01,3.720080554485321045e-01
7.449198833960000155e-01,4.108077585697174072e-01,4.157654643058776855e-01,3.332611322402954102e-01,4.128851890563964844e-01,4.247824549674987793e-01
1.360414384209999994e-01,3.457851707935333252e-01,3.370037674903869629e-01,3.095365166664123535e-01,3.560520708560943604e-01,3.757231235504150391e-01
3.794689347339999519e-01,4.172959327697753906e-01,4.186158180236816406e-01,3.780795931816101074e-01,3.859211802482604980e-01,3.990468978881835938e-01
2.388632307570000002e-01,3.297989368438720703e-01,3.254561126232147217e-01,3.191682100296020508e-01,3.702182769775390625e-01,3.495138287544250488e-01
3.440852305939999800e-01,4.112191498279571533e-01,4.041746258735656738e-01,3.827497959136962891e-01,4.230746328830718994e-01,4.162370860576629639e-01
1.527654648850000074e-01,3.655649423599243164e-01,3.628174066543579102e-01,3.504320085048675537e-01,4.139094948768615723e-01,3.829303383827209473e-01
1.700314736890000122e-01,4.649999141693115234e-01,4.574410915374755859e-01,4.122560620307922363e-01,4.165324568748474121e-01,4.329365789890289307e-01
5.752794112519999947e-01,4.359065890312194824e-01,4.294840991497039795e-01,3.813318610191345215e-01,4.256156086921691895e-01,4.335015416145324707e-01
1.527654648850000074e-01,2.857338190078735352e-01,2.655338048934936523e-01,2.833261489868164062e-01,3.020413517951965332e-01,2.785115838050842285e-01
4.615405460859999809e-01,3.008149266242980957e-01,2.663763761520385742e-01,3.161742091178894043e-01,3.058473467826843262e-01,3.076209723949432373e-01
2.809830011109999970e-01,3.134688138961791992e-01,2.997846603393554688e-01,3.237091004848480225e-01,3.328606188297271729e-01,3.349232673645019531e-01
