# observed_effect,predicted_effect
3.860053558290000297e-01,2.817097008228302002e-01
5.000476392889999788e-01,3.095974326133728027e-01
-1.228999582770000029e-02,8.283242583274841309e-02
6.272379168370000035e-02,4.081884622573852539e-01
1.329755410669999915e-01,1.419753432273864746e-01
2.762238704609999984e-01,1.377715766429901123e-01
8.823926196829999791e-01,6.746087670326232910e-01
1.676410365650000123e-01,1.842864155769348145e-01
8.645795747849999158e-01,7.147263288497924805e-01
2.439547588830000280e-01,2.020325064659118652e-01
2.364426379289999991e-01,3.324162960052490234e-01
1.600990816990000010e-01,3.039100766181945801e-02
5.421581041309999627e-01,6.013155579566955566e-01
4.074532500680000391e-01,2.923714518547058105e-01
1.163835720059999967e-01,2.673388719558715820e-01
-2.050590770779999947e-02,1.739059388637542725e-01
2.466737702870000215e-01,1.390300393104553223e-01
1.397915721759999952e-01,1.918922662734985352e-01
9.819906993350000501e-01,9.939804673194885254e-01
9.765008804170000056e-01,9.691338539123535156e-01
9.829290485730000082e-01,9.604595899581909180e-01
9.616139263779999169e-01,9.234313964843750000e-01
9.213808445359999988e-01,9.072419404983520508e-01
8.960813292550000586e-01,9.252388477325439453e-01
9.864790197980000119e-01,9.263788461685180664e-01
9.732467998100000628e-01,9.127602577209472656e-01
9.926318645149999620e-01,1.003617525100708008e+00
9.721125780739999778e-01,9.815106391906738281e-01
7.353347900390000413e-01,8.993340134620666504e-01
9.793594945010000163e-01,9.480344653129577637e-01
6.075793722519999829e-01,7.878260016441345215e-01
9.885792511740000288e-01,1.026128530502319336e+00
9.942045387469999884e-01,9.335699081420898438e-01
9.856078575200000191e-01,9.292513132095336914e-01
9.887258576240000041e-01,9.910922050476074219e-01
9.314991962509999723e-01,9.347400069236755371e-01
9.989734801880000292e-01,9.277349114418029785e-01
9.696430101799998758e-01,9.468570947647094727e-01
9.972672496040000389e-01,9.568158388137817383e-01
9.779195650530000394e-01,9.706119298934936523e-01
1.164792954599999791e-01,4.068467020988464355e-01
9.924795613810000194e-01,1.008938789367675781e+00
9.739152113719999893e-01,9.223869442939758301e-01
9.870277777330001001e-01,1.019919395446777344e+00
9.723639615629999788e-01,9.569214582443237305e-01
9.602543928479999602e-01,9.294561743736267090e-01
9.777818322990000643e-01,8.453921079635620117e-01
9.896285290710000737e-01,9.154086112976074219e-01
6.687991031300000166e-01,6.398261785507202148e-01
9.522262244779999829e-01,8.277320265769958496e-01
5.637431657820000108e-01,5.594512224197387695e-01
5.703719909269999722e-01,5.244296789169311523e-01
4.017300023390000252e-01,5.707915425300598145e-01
3.866875262969999838e-01,5.114786028861999512e-01
5.251535725089999662e-01,5.583879947662353516e-01
8.877057959890000127e-01,8.277320265769958496e-01
3.521506290330000399e-01,5.051551461219787598e-01
6.789038984970000579e-01,6.243019700050354004e-01
8.936183073700000312e-01,6.145246028900146484e-01
6.956989520330000287e-01,6.170975565910339355e-01
6.092660989279999884e-01,5.170139670372009277e-01
5.063924058820000740e-01,6.491108536720275879e-01
4.989363815199999719e-01,5.171077847480773926e-01
2.138398326289999984e-01,3.717268109321594238e-01
5.280558678350000257e-01,6.557389497756958008e-01
4.219161665539999939e-01,4.755604267120361328e-01
2.119438648840000217e-01,4.101220965385437012e-01
8.196363794100000044e-01,7.791218757629394531e-01
6.757261879459999232e-01,5.663458108901977539e-01
9.331465784049999268e-01,9.216268658638000488e-01
8.547347698420000306e-01,6.212535500526428223e-01
5.930161218760000574e-01,6.305299401283264160e-01
4.973728005640000172e-01,5.721754431724548340e-01
6.494957817670000688e-01,4.850555956363677979e-01
7.703406722640000481e-01,7.954877018928527832e-01
5.852414225090000199e-01,6.846090555191040039e-01
7.909186621189999711e-01,6.601385474205017090e-01
5.725271107310000440e-01,5.879056453704833984e-01
2.715297828020000193e-01,3.749392032623291016e-01
5.824784476909999897e-01,5.063837766647338867e-01
-5.715812820169999253e-02,2.474951744079589844e-02
-7.423019219189999629e-02,3.139832615852355957e-02
3.894773692569999252e-02,3.101375699043273926e-02
5.533770396880000053e-02,3.101375699043273926e-02
3.747026738950000324e-02,1.093956828117370605e-02
1.741251594599999841e-01,1.332227289676666260e-01
1.206581001639999984e-01,2.675576806068420410e-01
-7.464309815239999341e-03,-5.339503288269042969e-03
2.627872930619999936e-01,2.445813119411468506e-01
4.356528588930000390e-01,3.206595182418823242e-01
3.459031142630000256e-03,3.082081675529479980e-02
1.432918148029999894e-01,-4.514175653457641602e-02
1.718202794610000084e-01,8.346077799797058105e-02
-3.025299156800000111e-02,-3.515529632568359375e-02
-8.958509137450000603e-02,1.817825436592102051e-02
1.756866880999999880e-01,3.501754999160766602e-02
2.860832988909999819e-01,1.723673641681671143e-01
2.005221009430000201e-01,3.369569480419158936e-01
4.884367525680000099e-01,4.630323052406311035e-01
5.487978680280000132e-01,4.409907162189483643e-01
5.174232626830000542e-02,1.538182199001312256e-01
5.735951588779999999e-02,1.487966179847717285e-01
7.368462422610000048e-03,1.487966179847717285e-01
1.708006123960000011e-01,9.991741180419921875e-02
1.161107183999999931e-01,2.323716580867767334e-01
3.093157530270000399e-01,1.773405373096466064e-01
2.418801925680000020e-01,1.647653579711914062e-01
2.049253230059999986e-01,1.557405591011047363e-01
2.759945613859999813e-01,1.337107717990875244e-01
2.697737998440000173e-01,1.581571400165557861e-01
8.803097047209999804e-02,1.764092445373535156e-01
3.954361435149999493e-01,2.868466079235076904e-01
2.506107203919999971e-01,3.122612237930297852e-01
1.971569827149999843e-01,2.714172601699829102e-01
-4.196571929080000068e-02,1.160937547683715820e-02
1.206110039420000141e-01,1.247866153717041016e-01
4.751800536259999652e-01,5.865665078163146973e-01
5.144145367339999497e-01,4.474225938320159912e-01
-3.935274380159999724e-02,1.014027893543243408e-01
3.853318091170000043e-02,1.312254965305328369e-01
8.333341726490000045e-01,6.028606295585632324e-01
4.022459946540000164e-01,4.017549157142639160e-01
3.935602585099999828e-01,2.087523937225341797e-01
9.290511026639999281e-01,8.665993809700012207e-01
3.334769988829999754e-02,2.865281701087951660e-02
9.664491324389999916e-01,8.848493099212646484e-01
5.289803089130000469e-02,1.325305700302124023e-01
3.080888470770000095e-02,2.161330282688140869e-01
3.571176317699999991e-01,3.614119887351989746e-01
6.159112071140000755e-02,-8.420705795288085938e-03
2.575049495360000051e-01,4.513217210769653320e-01
5.471694734780000458e-01,5.026437044143676758e-01
9.527481544050000473e-01,8.729904890060424805e-01
-4.696088514779999529e-02,7.026076316833496094e-02
1.390885480600000113e-01,1.790675818920135498e-01
9.816598529490000447e-01,9.584503173828125000e-01
9.070513192630000887e-01,8.816547989845275879e-01
3.125223663399999685e-01,3.755028247833251953e-01
3.567001903850000599e-01,5.847629904747009277e-01
9.709806833660000747e-01,8.800936937332153320e-01
5.053348972479999590e-01,4.577882885932922363e-01
5.890964474809999851e-01,7.933989763259887695e-01
7.160082111010000749e-02,2.270755171775817871e-01
8.452209318660000026e-01,7.944000959396362305e-01
9.807817865449999228e-01,6.174157261848449707e-01
6.457732927440000825e-01,6.470259428024291992e-01
7.997105577799999698e-02,1.724185645580291748e-01
9.523270213480000690e-01,8.169684410095214844e-01
9.638781814139999460e-01,6.941130161285400391e-01
9.199468972740000305e-01,7.943743467330932617e-01
1.308601290279999829e-01,3.093727827072143555e-01
-5.108529918380000368e-02,1.303452849388122559e-01
2.515280100619999848e-01,1.408943831920623779e-01
3.186220175770000142e-03,4.003694653511047363e-02
-4.774912130689999701e-02,4.003694653511047363e-02
1.919259435700000072e-01,1.597216725349426270e-01
7.039564537900000474e-02,8.388403058052062988e-02
4.758372408569999656e-01,1.033433079719543457e-01
3.715036164330000334e-02,5.117094516754150391e-02
8.442277819929999705e-02,8.743402361869812012e-02
3.396042825280000121e-01,1.833303570747375488e-01
-3.482136189599999848e-02,-2.314496040344238281e-02
9.531651366610000009e-02,4.003694653511047363e-02
6.494754797059999751e-02,4.808941483497619629e-02
1.502567410029999884e-01,1.271800100803375244e-01
1.939917735909999774e-01,1.026256680488586426e-01
1.359509164390000080e-01,2.495175302028656006e-01
4.414038986699999612e-01,2.846894264221191406e-01
-1.926965891220000157e-02,9.064376354217529297e-02
2.100866662930000236e-03,9.064376354217529297e-02
-4.074879815280000456e-02,2.650487422943115234e-02
1.761471567460000109e-01,1.660058498382568359e-01
4.722165034599999922e-01,2.094625532627105713e-01
4.656414547400000159e-01,3.019133806228637695e-01
5.180985222099999954e-02,6.657758355140686035e-02
2.486079394079999949e-01,2.239932715892791748e-01
2.222374720499999956e-01,3.059166073799133301e-01
1.504136670200000025e-01,1.343807578086853027e-01
2.783268959740000104e-01,1.032197177410125732e-01
2.580929323789999952e-01,9.064376354217529297e-02
-2.802336245479999932e-02,1.989504694938659668e-02
4.180926174449999810e-01,3.784467577934265137e-01
1.538738241940000029e-01,2.770016491413116455e-01
4.773486224890000074e-02,9.943789243698120117e-02
9.317723598079999392e-02,8.962589502334594727e-02
9.643210564149999886e-01,8.045486211776733398e-01
6.784028086800000246e-01,7.565119266510009766e-01
1.447898733420000146e-02,2.870506048202514648e-01
2.118864711350000041e-01,2.762233018875122070e-01
5.405507356270000674e-01,7.822893857955932617e-01
8.721992713820000409e-01,4.250443577766418457e-01
5.612186805740000395e-01,7.235536575317382812e-01
1.261768677379999926e-01,2.166704833507537842e-01
4.104269760909999842e-01,6.612586379051208496e-01
9.866488535700000950e-01,8.147382140159606934e-01
4.305864231019999600e-01,3.090408444404602051e-01
7.291655789800000065e-02,1.602491736412048340e-01
2.984611040990000075e-01,2.694494724273681641e-01
1.568312563529999926e-01,2.018618583679199219e-01
8.711616371439999673e-01,7.739344835281372070e-01
4.555686310470000167e-01,7.265218496322631836e-01
9.715324734819998920e-01,7.910612821578979492e-01
6.722665494689999965e-01,5.650846958160400391e-01
1.653839707279999849e-01,4.620237648487091064e-01
-1.145929095090000016e-01,-3.267216682434082031e-02
-1.274979718690000068e-04,2.696627378463745117e-02
-2.065689718600000058e-02,-6.531846523284912109e-02
1.264952694569999869e-01,3.974425792694091797e-02
8.784551377730000221e-02,-7.440268993377685547e-03
-5.604124608790000267e-02,1.637697219848632812e-03
-7.746335083519999970e-03,-1.757687330245971680e-02
1.318784489929999970e-01,5.099654197692871094e-02
2.424966518290000081e-02,-5.130231380462646484e-03
5.715915058690000661e-02,3.640583157539367676e-02
1.003824902830000032e-01,-2.430897951126098633e-02
2.450442675390000075e-02,-5.144125223159790039e-02
4.584528642509999585e-02,7.424899935722351074e-02
6.430766229590000743e-03,8.733713626861572266e-02
-1.659707239010000113e-01,-6.008958816528320312e-02
5.684742437339999899e-02,-5.539417266845703125e-02
-1.771234707249999887e-02,4.434719681739807129e-02
9.097836617239998813e-02,-2.530664205551147461e-02
4.306743042960000517e-02,-5.535680055618286133e-02
7.202248985709999163e-01,6.142441630363464355e-01
5.238527253870000067e-01,4.076670706272125244e-01
1.506848467039999806e-01,2.209705114364624023e-01
4.534304800699999749e-01,3.191305994987487793e-01
1.900401113599999858e-01,2.575629055500030518e-01
1.924403309549999885e-01,4.094039201736450195e-01
1.566602970400000072e-01,2.337715327739715576e-01
8.272233466399998569e-01,7.201565504074096680e-01
4.779983200240000563e-01,2.691031098365783691e-01
3.799967936499999976e-01,5.284936428070068359e-01
4.021609164830000083e-01,6.524313092231750488e-01
1.585321288930000017e-01,2.209705114364624023e-01
9.748019812239999693e-01,2.442220151424407959e-01
2.115358690449999912e-01,3.259724676609039307e-01
8.561598576649999404e-02,1.341002583503723145e-01
5.361145571440000257e-01,4.380257129669189453e-01
8.862139392749999178e-01,6.131082773208618164e-01
